season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0003,16705,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0003,13952,ROSTER,5.13,2,2025 UFA,2025-12-13
2025,15,0003,13448,ROSTER,3.6,1,2025 UFA,2025-12-13
2025,15,0003,14159,ROSTER,14.4,2,2023 UFA,2025-12-13
2025,15,0003,16184,ROSTER,1.59,2,2023 2.13,2025-12-13
2025,15,0003,14179,ROSTER,7.22,2,2024 iEXT,2025-12-13
2025,15,0003,17169,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0003,14147,INJURED_RESERVE,19.36,3,2023 UFA,2025-12-13
2025,15,0003,14900,INJURED_RESERVE,9.5,2,2025 B/R,2025-12-13
2025,15,0003,15819,INJURED_RESERVE,1.78,1,2022 2.13,2025-12-13
2025,15,0004,14782,ROSTER,10.48,2,2023 iEXT,2025-12-13
2025,15,0004,14149,ROSTER,3.0,2,2024 iEXT,2025-12-13
2025,15,0004,16190,ROSTER,3.45,2,2023 1.10,2025-12-13
2025,15,0004,16223,ROSTER,3.21,2,2023 1.11,2025-12-13
2025,15,0004,14518,ROSTER,2.73,1,2023 UFA,2025-12-13
2025,15,0004,14836,ROSTER,41.25,3,2024 NEFToff,2025-12-13
2025,15,0004,9431,ROSTER,12.89,2,2024 SRFA,2025-12-13
2025,15,0004,16651,ROSTER,2.15,3,2024 2.01,2025-12-13
2025,15,0004,16677,ROSTER,1.18,3,2024 3.13,2025-12-13
2025,15,0004,13692,ROSTER,2.97,2,2024 UFA,2025-12-13
2025,15,0004,14910,ROSTER,3.25,1,2024 UFA,2025-12-13
2025,15,0004,16747,ROSTER,1.01,3,2024 4.16,2025-12-13
2025,15,0004,15281,ROSTER,42.24,1,2025 NEFT,2025-12-13
2025,15,0004,15710,ROSTER,7.46,4,2025 FRFA,2025-12-13
2025,15,0004,14590,ROSTER,1.09,1,2025 ERFA,2025-12-13
2025,15,0004,14943,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0004,16346,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0004,11150,ROSTER,7.6,2,2025 B/R,2025-12-13
2025,15,0004,14899,ROSTER,1.1,1,2024 R/F,2025-12-13
2025,15,0004,17121,ROSTER,2.33,4,2025 1.16,2025-12-13
