season,week,franchise_id,player_id,status,contractYear,salary,contractInfo,as_of
2025,22,0002,16181,ROSTER,2,1.21,2023 3.17,2026-02-04
2025,22,0002,16450,ROSTER,1,1.9,2025 UFA,2026-02-04
2025,22,0002,16680,ROSTER,1,1.1,2025 UFA,2026-02-04
2025,22,0002,14256,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0002,17261,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0002,12140,ROSTER,1,1.5,2025 UFA,2026-02-04
2025,22,0002,15875,ROSTER,1,1.8,2025 UFA,2026-02-04
2025,22,0002,14151,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0002,15832,ROSTER,1,1.8,2025 UFA,2026-02-04
2025,22,0002,7394,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0002,12305,ROSTER,1,1.1,2025 UFA,2026-02-04
