season,week,franchise_id,player_id,contractInfo,status,salary,contractYear,as_of
2025,18,0002,16145,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,15378,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,16181,2023 3.17,ROSTER,1.21,2,2026-01-01
2025,18,0002,16450,2025 UFA,ROSTER,1.9,1,2026-01-01
2025,18,0002,16680,2025 UFA,ROSTER,1.1,1,2026-01-01
2025,18,0002,14256,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,17261,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,12140,2025 UFA,ROSTER,1.5,1,2026-01-01
2025,18,0002,15875,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0002,14151,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,15832,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0002,7394,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,12305,2025 UFA,ROSTER,1.1,1,2026-01-01
2025,18,0002,11327,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,14871,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,15923,2025 UFA,INJURED_RESERVE,3.5,1,2026-01-01
2025,18,0002,16736,2025 R/F,INJURED_RESERVE,1.0,2,2026-01-01
2025,18,0002,15254,2025 UFA,INJURED_RESERVE,1.1,1,2026-01-01
2025,18,0002,13595,2025 UFA,TAXI_SQUAD,2.0,1,2026-01-01
2025,18,0003,14127,2024 iEXT,ROSTER,9.12,1,2026-01-01
2025,18,0003,14171,2024 B/R,ROSTER,10.89,2,2026-01-01
2025,18,0003,15708,2025 iEXT,ROSTER,10.27,4,2026-01-01
2025,18,0003,12611,2024 UFA,ROSTER,18.7,3,2026-01-01
2025,18,0003,14071,2024 UFA,ROSTER,11.5,1,2026-01-01
2025,18,0003,16579,2024 1.02,ROSTER,7.41,3,2026-01-01
2025,18,0003,16641,2024 1.07,ROSTER,4.02,3,2026-01-01
2025,18,0003,16650,2024 2.05,ROSTER,1.86,3,2026-01-01
2025,18,0003,13223,2024 iEXT,ROSTER,2.32,1,2026-01-01
2025,18,0003,13630,2024 iEXT,ROSTER,20.33,1,2026-01-01
2025,18,0003,15809,2022 2.05,ROSTER,2.24,1,2026-01-01
2025,18,0003,15836,2022 4.01,ROSTER,1.25,1,2026-01-01
2025,18,0003,13737,2025 NEFT,ROSTER,8.87,1,2026-01-01
2025,18,0003,14860,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0003,14833,2025 ORFA1,ROSTER,8.8,4,2026-01-01
2025,18,0003,17081,2025 1.14,ROSTER,2.58,4,2026-01-01
2025,18,0003,17052,2025 2.10,ROSTER,1.64,4,2026-01-01
2025,18,0003,17144,2025 2.15,ROSTER,1.46,4,2026-01-01
2025,18,0003,14218,2025 UFA,ROSTER,5.89,2,2026-01-01
2025,18,0003,15003,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0003,16593,2024 3.03,ROSTER,1.35,3,2026-01-01
2025,18,0003,16660,2024 3.11,ROSTER,1.21,3,2026-01-01
2025,18,0003,16252,2023 3.18,ROSTER,1.2,2,2026-01-01
2025,18,0003,17125,2025 3.12,ROSTER,1.18,4,2026-01-01
2025,18,0003,16603,2024 4.05,ROSTER,1.07,3,2026-01-01
2025,18,0003,15799,2025 ERFA,ROSTER,1.09,1,2026-01-01
2025,18,0003,17128,2025 4.01,ROSTER,1.07,4,2026-01-01
2025,18,0003,13744,2025 UFA,ROSTER,1.1,1,2026-01-01
2025,18,0003,14717,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0003,16077,2025 UFA,ROSTER,1.9,1,2026-01-01
2025,18,0003,15446,2025 UFA,ROSTER,1.9,1,2026-01-01
2025,18,0003,15401,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0003,15742,2025 iEXT,ROSTER,9.08,2,2026-01-01
2025,18,0003,16212,2023 1.15,ROSTER,2.53,2,2026-01-01
2025,18,0003,16705,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0003,13952,2025 UFA,ROSTER,5.13,2,2026-01-01
2025,18,0003,13448,2025 UFA,ROSTER,3.6,1,2026-01-01
2025,18,0003,14159,2023 UFA,ROSTER,14.4,2,2026-01-01
2025,18,0003,16184,2023 2.13,ROSTER,1.59,2,2026-01-01
2025,18,0003,14179,2024 iEXT,ROSTER,7.22,2,2026-01-01
2025,18,0003,17169,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0003,13791,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0003,14147,2023 UFA,INJURED_RESERVE,19.36,3,2026-01-01
2025,18,0003,14900,2025 B/R,INJURED_RESERVE,9.5,2,2026-01-01
2025,18,0003,15819,2022 2.13,INJURED_RESERVE,1.78,1,2026-01-01
2025,18,0004,14782,2023 iEXT,ROSTER,10.48,2,2026-01-01
2025,18,0004,14149,2024 iEXT,ROSTER,3.0,2,2026-01-01
2025,18,0004,16190,2023 1.10,ROSTER,3.45,2,2026-01-01
2025,18,0004,16223,2023 1.11,ROSTER,3.21,2,2026-01-01
2025,18,0004,14518,2023 UFA,ROSTER,2.73,1,2026-01-01
2025,18,0004,14836,2024 NEFToff,ROSTER,41.25,3,2026-01-01
2025,18,0004,9431,2024 SRFA,ROSTER,12.89,2,2026-01-01
2025,18,0004,16651,2024 2.01,ROSTER,2.15,3,2026-01-01
2025,18,0004,16677,2024 3.13,ROSTER,1.18,3,2026-01-01
2025,18,0004,13692,2024 UFA,ROSTER,2.97,2,2026-01-01
2025,18,0004,14910,2024 UFA,ROSTER,3.25,1,2026-01-01
2025,18,0004,16747,2024 4.16,ROSTER,1.01,3,2026-01-01
