season,week,franchise_id,player_id,contractInfo,status,contractYear,salary,as_of
2025,12,0003,14860,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0003,13869,2025 ERFA,ROSTER,1,1.09,2025-11-24
2025,12,0003,14833,2025 ORFA1,ROSTER,4,8.8,2025-11-24
2025,12,0003,17081,2025 1.14,ROSTER,4,2.58,2025-11-24
2025,12,0003,17052,2025 2.10,ROSTER,4,1.64,2025-11-24
2025,12,0003,17144,2025 2.15,ROSTER,4,1.46,2025-11-24
2025,12,0003,14218,2025 UFA,ROSTER,2,5.89,2025-11-24
2025,12,0003,15003,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0003,16593,2024 3.03,ROSTER,3,1.35,2025-11-24
2025,12,0003,16660,2024 3.11,ROSTER,3,1.21,2025-11-24
2025,12,0003,16252,2023 3.18,ROSTER,2,1.2,2025-11-24
2025,12,0003,17125,2025 3.12,ROSTER,4,1.18,2025-11-24
2025,12,0003,16603,2024 4.05,ROSTER,3,1.07,2025-11-24
2025,12,0003,15799,2025 ERFA,ROSTER,1,1.09,2025-11-24
2025,12,0003,17128,2025 4.01,ROSTER,4,1.07,2025-11-24
2025,12,0003,13744,2025 UFA,ROSTER,1,1.1,2025-11-24
2025,12,0003,14717,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0003,16077,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0003,15446,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0003,15401,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0003,15742,2023 iEXT,ROSTER,1,5.71,2025-11-24
2025,12,0003,16212,2023 1.15,ROSTER,2,2.53,2025-11-24
2025,12,0003,16705,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0003,13952,2025 UFA,ROSTER,2,5.13,2025-11-24
2025,12,0003,13448,2025 UFA,ROSTER,1,3.6,2025-11-24
2025,12,0003,14159,2023 UFA,ROSTER,2,14.4,2025-11-24
2025,12,0003,13920,2025 UFA,ROSTER,1,2.6,2025-11-24
2025,12,0003,16184,2023 2.13,INJURED_RESERVE,2,1.59,2025-11-24
