season,week,franchise_id,player_id,salary,contractInfo,status,contractYear,as_of
2025,17,0001,15866,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,15380,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,16192,1.9,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,15727,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,15358,1.8,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,17097,0.95,2025 5.08,ROSTER,4,2025-12-25
2025,17,0001,17072,2.05,2025 2.03,ROSTER,4,2025-12-25
2025,17,0001,15913,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,15369,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,13431,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,13404,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,13888,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,14933,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,15890,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,14153,14.69,2025 oEXT,ROSTER,2,2025-12-25
2025,17,0002,15794,5.35,2022 3.06^,ROSTER,1,2025-12-25
2025,17,0002,15762,3.23,2022 1.13,ROSTER,1,2025-12-25
2025,17,0002,16262,1.12,2023 4.09,ROSTER,2,2025-12-25
2025,17,0002,15756,5.75,2022 1.06,ROSTER,1,2025-12-25
2025,17,0002,14802,17.6,2024 iEXT,ROSTER,2,2025-12-25
2025,17,0002,14779,15.14,2023 iEXT,ROSTER,4,2025-12-25
2025,17,0002,16251,1.1,2023 4.15,ROSTER,2,2025-12-25
2025,17,0002,14832,37.73,2024 NEFToff,ROSTER,3,2025-12-25
2025,17,0002,12225,11.5,2024 B/R,ROSTER,1,2025-12-25
2025,17,0002,16655,1.42,2024 2.16,ROSTER,3,2025-12-25
2025,17,0002,13837,10.0,2024 UFA,ROSTER,2,2025-12-25
2025,17,0002,14249,7.5,2024 UFA,ROSTER,1,2025-12-25
2025,17,0002,10783,1.1,2024 R/F,ROSTER,1,2025-12-25
2025,17,0002,14897,21.51,2024 UFA,ROSTER,3,2025-12-25
2025,17,0002,15428,1.1,2025 ERFA,ROSTER,1,2025-12-25
2025,17,0002,14669,1.1,2025 ERFA,ROSTER,1,2025-12-25
2025,17,0002,15290,42.24,2025 NEFT,ROSTER,1,2025-12-25
2025,17,0002,17116,0.9,2025 UDFA,ROSTER,3,2025-12-25
2025,17,0002,15979,1.86,2025 UFA,ROSTER,3,2025-12-25
2025,17,0002,15757,1.3,2022 3.19,ROSTER,1,2025-12-25
2025,17,0002,17161,0.9,2025 UDFA,ROSTER,3,2025-12-25
2025,17,0002,17033,1.12,2025 3.17,ROSTER,4,2025-12-25
2025,17,0002,17056,0.95,2025 5.07,ROSTER,4,2025-12-25
2025,17,0002,17138,1.15,2025 3.14,ROSTER,4,2025-12-25
2025,17,0002,16670,0.98,2024 5.13,ROSTER,3,2025-12-25
2025,17,0002,16300,3.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,14283,1.1,2024 R/F,ROSTER,1,2025-12-25
2025,17,0002,14997,2.6,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,16145,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,15378,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,16181,1.21,2023 3.17,ROSTER,2,2025-12-25
2025,17,0002,16450,1.9,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,16680,1.1,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,14256,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,17261,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,12140,1.5,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,15875,1.8,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,14151,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,14434,1.0,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,15832,1.8,2025 UFA,ROSTER,1,2025-12-25
2025,17,0002,7394,1.0,2025 UFA,ROSTER,1,2025-12-25
