season,week,franchise_id,player_id,salary,contractYear,status,contractInfo,as_of
2025,13,0002,14249,7.5,1,ROSTER,2024 UFA,2025-11-25
2025,13,0002,10783,1.1,1,ROSTER,2024 R/F,2025-11-25
2025,13,0002,14897,21.51,3,ROSTER,2024 UFA,2025-11-25
2025,13,0002,13844,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0002,15428,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0002,16736,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0002,14669,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0002,15290,42.24,1,ROSTER,2025 NEFT,2025-11-25
2025,13,0002,17116,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0002,15979,1.86,3,ROSTER,2025 UFA,2025-11-25
2025,13,0002,15757,1.3,1,ROSTER,2022 3.19,2025-11-25
2025,13,0002,17161,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0002,17033,1.12,4,ROSTER,2025 3.17,2025-11-25
2025,13,0002,17056,0.95,4,ROSTER,2025 5.07,2025-11-25
2025,13,0002,17138,1.15,4,ROSTER,2025 3.14,2025-11-25
2025,13,0002,16670,0.98,3,ROSTER,2024 5.13,2025-11-25
2025,13,0002,16300,3.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,14283,1.1,1,ROSTER,2024 R/F,2025-11-25
2025,13,0002,14997,2.6,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,16145,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,15378,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,15240,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,12677,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0002,14154,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,16181,1.21,2,ROSTER,2023 3.17,2025-11-25
2025,13,0002,16450,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,16680,1.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,13595,2.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,14256,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,17261,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,12140,1.5,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,15875,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,17239,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0002,15923,3.5,1,INJURED_RESERVE,2025 UFA,2025-11-25
2025,13,0003,15819,1.78,1,ROSTER,2022 2.13,2025-11-25
2025,13,0003,14127,9.12,1,ROSTER,2024 iEXT,2025-11-25
2025,13,0003,15832,5.35,1,ROSTER,2022 4.11^,2025-11-25
2025,13,0003,14171,10.89,2,ROSTER,2024 B/R,2025-11-25
2025,13,0003,15708,11.66,1,ROSTER,2022 1.01,2025-11-25
2025,13,0003,12611,18.7,3,ROSTER,2024 UFA,2025-11-25
2025,13,0003,14071,11.5,1,ROSTER,2024 UFA,2025-11-25
2025,13,0003,16579,7.41,3,ROSTER,2024 1.02,2025-11-25
2025,13,0003,16641,4.02,3,ROSTER,2024 1.07,2025-11-25
2025,13,0003,16650,1.86,3,ROSTER,2024 2.05,2025-11-25
2025,13,0003,13223,2.32,1,ROSTER,2024 iEXT,2025-11-25
2025,13,0003,13630,20.33,1,ROSTER,2024 iEXT,2025-11-25
2025,13,0003,15809,2.24,1,ROSTER,2022 2.05,2025-11-25
2025,13,0003,15836,1.25,1,ROSTER,2022 4.01,2025-11-25
2025,13,0003,13737,8.87,1,ROSTER,2025 NEFT,2025-11-25
2025,13,0003,14860,1.1,1,ROSTER,2025 ERFA,2025-11-25
