season,player_id,player_name,position,games_played,mean_score,median_score,min_score,max_score,std_dev,coefficient_variation,floor_score,ceiling_score,std_dev_vs_position,cv_vs_position,value_score,consistency_score_std,consistency_score_trailing_10,consistency_score_trailing_5,consistency_score_last_season,consistency_score_2seasons_ago
2019,10729,"Hilton, T.Y.",WR,11,8.709090909090909,10.1,-1.7,21.2,6.507681411637473,0.7472285545721524,4.55,12.899999999999999,0.3451991324642369,-0.14792977181650216,4.984517272397441,1.160024038259157,1.161226513015838,0.7311064038313891,1.2710769511672249,
2019,12650,"Boyd, Tyler",WR,17,8.51764705882353,7.9,-3.7,24.9,8.066140945816993,0.9469916856276857,2.6,13.5,0.8693221681724527,-0.11959622542753305,4.374773206120573,0.9395008427211213,1.2148625874784011,1.2580259387220698,1.4572501069162176,
2019,13155,"Ross, John",WR,9,8.466666666666667,4.0,-5.3,33.6,10.99464516126929,1.29858013715779,3.5,8.3,1.854202741472188,-0.0697284262565003,3.683433320334768,0.7058705407981166,0.5936562478512796,1.6673816262482761,0.26347424357529986,
2019,14123,"Renfrow, Hunter",WR,14,8.414285714285715,5.05,-1.8,20.9,8.073931343957463,0.9595504143922282,1.45,17.45,0.8719421445229508,-0.11781494916220596,4.293987872159686,0.9273032156992215,1.2115909914769831,1.8774279556055269,,
2019,11938,"Thielen, Adam",WR,10,8.379999999999999,8.9,-4.1,32.3,10.284337606282671,1.2272479243774073,0.32499999999999996,11.375,1.6153203426410467,-0.07984588161055628,3.7624908786669984,0.7426222337883925,0.7426222337883925,0.5481212795314337,1.4501452057600548,
2019,12184,"Crowder, Jamison",WR,17,8.370588235294116,11.8,-6.4,19.3,7.499942329651401,0.8959874884334071,1.3,14.6,0.6789048162873845,-0.12683044217013345,4.4148963462888995,0.984781768000232,1.108208132465463,1.6614798514318765,0.6338964863722256,
2019,10973,"Beasley, Cole",WR,15,8.113333333333333,6.5,-4.3,23.0,6.420474195017754,0.7913485039052286,4.550000000000001,12.8,0.3158706127895477,-0.1416719872868826,4.52917638061263,1.0933712752186076,1.104628935646956,1.0877449038656728,0.7888103801605802,
2019,13633,"Kirk, Christian",WR,14,8.035714285714286,6.300000000000001,-3.9,33.4,9.292824201105553,1.1564403450264686,1.875,12.05,1.2818660536656106,-0.0898889252073885,3.726379124860815,0.7807103403992045,0.719389759424089,0.9561040541076309,1.0003897231682006,
2019,12391,"Williams, Tyrell",WR,15,7.973333333333333,7.6,-1.7,22.3,7.242510307590564,0.9083415937613584,1.0,13.35,0.5923282642936463,-0.12507818881610283,4.178147853298015,0.967342840443967,0.7400275335180027,0.8903677094651493,0.7341372664035576,
2019,13158,"Westbrook, Dede",WR,16,7.96875,6.4,-3.9,22.4,7.713925617835577,0.9680220383166215,2.8,11.45,0.7508691940169363,-0.11661337033140075,4.049116242019422,0.9144845101373875,0.984313981622816,0.7613730546448141,0.8183325750559196,
