season,week,franchise_id,player_id,contractInfo,salary,status,contractYear
2019,21,0004,13737,2018 6.02,0.66,ROSTER,3
2019,21,0004,13249,201 UDFA,0.61,ROSTER,1
2019,21,0004,13753,2018 4.09,0.88,ROSTER,2
2019,21,0004,9846,2018 UFA,0.66,ROSTER,1
2019,21,0004,13434,2019 UFA,1.2,ROSTER,2
2019,21,0004,14122,2019 UDFA,0.5,ROSTER,3
2019,21,0004,13731,2019 UFA,1.2,ROSTER,2
2019,21,0004,13426,2019 UFA,1.2,ROSTER,2
2019,21,0004,13222,2017 3.11,1.21,ROSTER,2
2019,21,0004,12698,2016 4.02,1.07,ROSTER,1
2019,21,0004,14149,2019 3.13,1.0,ROSTER,3
2019,21,0004,13168,2019 UFA,1.2,ROSTER,2
2019,21,0004,14202,2019 UFA,1.3,ROSTER,2
2019,21,0004,10699,2018 UFA,0.66,ROSTER,1
2019,21,0004,9884,2019 UFA,1.2,ROSTER,1
2019,21,0004,12964,2019 UFA,0.6,ROSTER,2
2019,21,0004,14057,2019 2.13,1.37,ROSTER,4
2019,21,0004,10763,2019 UFA,0.6,ROSTER,2
2019,21,0004,12740,2019 UFA,1.2,ROSTER,2
2019,21,0004,14074,2019 6.13,0.57,ROSTER,3
2019,21,0004,14155,2019 3.05,1.15,ROSTER,4
2019,21,0004,11772,2019 SRFA,2.5,INJURED_RESERVE,3
2019,21,0004,11695,Inaugural,6.66,INJURED_RESERVE,1
2019,21,0004,9864,2019 UFA,0.6,INJURED_RESERVE,2
2019,21,0004,13198,2017 1.08,3.75,TAXI_SQUAD,2
2019,21,0005,13116,2018 EXT,5.08,ROSTER,5
2019,21,0005,12625,2019 EXT,8.1,ROSTER,5
2019,21,0005,9868,2017 UFA,2.54,ROSTER,1
2019,21,0005,13156,2018 FRFA,4.4,ROSTER,4
2019,21,0005,13697,2018 1.15,2.42,ROSTER,3
2019,21,0005,13727,2018 2.10,1.76,ROSTER,3
2019,21,0005,13691,2018 3.01,1.43,ROSTER,3
2019,21,0005,12630,2018 SRFA,4.95,ROSTER,2
2019,21,0005,11747,2018 UFA,1.21,ROSTER,1
2019,21,0005,12616,2018 UFA,1.21,ROSTER,1
2019,21,0005,11244,2019 NEFT2,13.39,ROSTER,1
2019,21,0005,12222,2019 FRFA,3.3,ROSTER,4
2019,21,0005,11517,2019 UFA,1.2,ROSTER,2
2019,21,0005,11640,2019 UFA,1.2,ROSTER,2
2019,21,0005,10266,2019 UFA,8.0,ROSTER,2
2019,21,0005,14075,2019 2.16,1.28,ROSTER,4
2019,21,0005,14157,2019 1.10,2.75,ROSTER,4
2019,21,0005,11679,2019 EXT,6.92,ROSTER,5
2019,21,0005,13645,2018 4.03,0.99,ROSTER,3
2019,21,0005,14176,2019 3.16,0.94,ROSTER,4
2019,21,0005,13684,2018 5.10,0.77,ROSTER,3
2019,21,0005,12448,2018 UFA,0.66,ROSTER,1
2019,21,0005,13715,2018 5.03,0.77,ROSTER,3
2019,21,0005,10782,2019 UFA,0.6,ROSTER,1
2019,21,0005,11316,2019 UFA,1.2,ROSTER,1
2019,21,0005,10868,2019 ORFAN,3.0,ROSTER,2
2019,21,0005,12910,2019 UFA,1.2,ROSTER,1
2019,21,0005,14127,2019 UFA,1.2,ROSTER,2
2019,21,0005,13321,2019 UFA,1.2,ROSTER,2
2019,21,0005,14163,2019 3.07,1.11,ROSTER,4
2019,21,0005,9310,2019 UFA,0.6,ROSTER,2
2019,21,0005,13391,2019 UFA,0.6,ROSTER,1
2019,21,0005,13470,2019 UFA,0.6,ROSTER,1
2019,21,0005,10271,2019 EXT,25.91,ROSTER,2
2019,21,0005,11317,2018 EXT,1.74,ROSTER,2
2019,21,0005,12239,Inaugural,6.66,ROSTER,1
2019,21,0005,12778,2019 UFA,1.2,ROSTER,2
2019,21,0005,12386,2019 R/F,0.6,ROSTER,2
2019,21,0005,12288,2019 UFA,0.6,ROSTER,2
2019,21,0005,13866,2019 UFA,0.6,ROSTER,2
2019,21,0005,14305,2019 UFA,0.6,ROSTER,2
2019,21,0005,13121,2019 UFA,0.6,ROSTER,2
2019,21,0005,13215,2017 2.07,1.94,INJURED_RESERVE,2
2019,21,0005,10272,2016 UFA,6.66,INJURED_RESERVE,1
2019,21,0005,9075,2018 UFA,2.42,INJURED_RESERVE,1
2019,21,0005,13679,2018 UFA,0.66,INJURED_RESERVE,1
2019,21,0005,8416,2018 UFA,3.96,INJURED_RESERVE,1
2019,21,0005,14112,2019 2.01,1.95,INJURED_RESERVE,4
2019,21,0005,11850,2019 UFA,1.2,INJURED_RESERVE,2
2019,21,0005,10879,2019 SRFA,2.5,INJURED_RESERVE,2
2019,21,0005,12298,2019 UFA,0.6,INJURED_RESERVE,2
2019,21,0005,8247,2019 UFA,1.2,INJURED_RESERVE,2
2019,21,0005,8359,2019 UFA,1.2,INJURED_RESERVE,2
2019,21,0005,10265,2019 UFA,1.2,INJURED_RESERVE,2
2019,21,0005,12215,2018 UFA,0.66,TAXI_SQUAD,1
2019,21,0006,12697,2016 2.14,1.59,ROSTER,1
2019,21,0006,11293,Inaugural,13.31,ROSTER,2
2019,21,0006,13230,2017 2.08,1.94,ROSTER,2
2019,21,0006,13131,2019 EXT,1.93,ROSTER,6
2019,21,0006,11247,Inaugural,6.92,ROSTER,1
2019,21,0006,12110,2018 SRFA,2.53,ROSTER,2
2019,21,0006,13630,2018 2.04,1.98,ROSTER,3
2019,21,0006,13595,2018 3.06,1.32,ROSTER,3
2019,21,0006,13622,2018 4.01,0.99,ROSTER,3
2019,21,0006,13614,2018 EXT,1.85,ROSTER,3
2019,21,0006,13304,2018 UFA,0.66,ROSTER,1
2019,21,0006,11872,2018 UFA,0.66,ROSTER,1
2019,21,0006,12665,2018 UFA,1.1,ROSTER,1
2019,21,0006,13636,2018 5.04,0.77,ROSTER,3
2019,21,0006,13164,2017 2.11,1.69,ROSTER,2
2019,21,0006,11757,2019 EXT,7.68,ROSTER,4
