season,week,franchise_id,player_id,salary,contractInfo,status,contractYear
2022,22,0003,12988,0.9,2022 UFA,ROSTER,1
2022,22,0003,15696,0.9,2022 UFA,ROSTER,1
2022,22,0003,13645,0.9,2022 UFA,ROSTER,1
2022,22,0003,11225,8.7,2022 UFA,ROSTER,1
2022,22,0003,15882,0.82,2022 5.23,ROSTER,4
2022,22,0003,12311,0.9,2022 UFA,ROSTER,1
2022,22,0003,9861,0.9,2022 UFA,ROSTER,1
2022,22,0003,13418,0.9,2022 UFA,ROSTER,1
2022,22,0003,13265,4.48,2022 oEXT,ROSTER,2
2022,22,0003,15862,0.9,2022 UFA,ROSTER,1
2022,22,0003,14877,3.25,2020 1.09,ROSTER,2
2022,22,0003,12181,1.3,2022 UFA,ROSTER,1
2022,22,0003,9826,0.9,2022 UFA,ROSTER,1
2022,22,0003,13844,0.9,2022 UFA,ROSTER,1
2022,22,0003,12215,0.99,2021 R/F,ROSTER,1
2022,22,0003,13726,2.72,2021 EXT,ROSTER,1
2022,22,0003,13377,0.99,2022 ERFA,INJURED_RESERVE,1
2022,22,0003,15382,1.01,2021 3.16,INJURED_RESERVE,3
2022,22,0003,12700,2.43,2022 RRFA,INJURED_RESERVE,2
2022,22,0003,15377,0.87,2021 5.08,INJURED_RESERVE,3
2022,22,0003,13212,2.0,2022 UFA,INJURED_RESERVE,2
2022,22,0003,13738,0.9,2022 UFA,INJURED_RESERVE,1
2022,22,0003,15832,0.89,2022 4.11,INJURED_RESERVE,4
2022,22,0003,14924,0.9,2022 UFA,INJURED_RESERVE,1
2022,22,0004,13132,11.33,2022 iEXT,ROSTER,3
2022,22,0004,12650,7.26,2020 EXT,ROSTER,2
2022,22,0004,14867,0.98,2020 4.07,ROSTER,2
2022,22,0004,14836,3.55,2020 1.08,ROSTER,2
2022,22,0004,13198,9.85,2020 EXT,ROSTER,2
2022,22,0004,14928,1.19,2020 3.03,ROSTER,2
2022,22,0004,13782,3.3,2021 TToff,ROSTER,2
2022,22,0004,15368,0.86,2021 5.12,ROSTER,3
2022,22,0004,13470,3.3,2021 UFA,ROSTER,2
2022,22,0004,15281,5.95,2021 1.03,ROSTER,3
2022,22,0004,15379,1.03,2021 3.14,ROSTER,3
2022,22,0004,14782,1.14,2020 3.05,ROSTER,2
2022,22,0004,15361,1.08,2021 3.10,ROSTER,3
2022,22,0004,13730,0.9,2022 R/F,ROSTER,2
2022,22,0004,12305,6.0,2022 B/R,ROSTER,2
2022,22,0004,12140,3.99,2022 SRFA,ROSTER,3
2022,22,0004,14143,3.99,2022 SRFA,ROSTER,3
2022,22,0004,13332,2.5,2021 EXT,ROSTER,3
2022,22,0004,15753,7.38,2022 1.02,ROSTER,4
2022,22,0004,15709,1.11,2022 3.07,ROSTER,4
2022,22,0004,15857,0.84,2022 5.07,ROSTER,4
2022,22,0004,15814,0.77,2022 UDFA,ROSTER,3
2022,22,0004,14247,2.04,2022 iEXT,ROSTER,3
2022,22,0004,9051,1.3,2022 UFA,ROSTER,1
2022,22,0004,14322,1.3,2022 UFA,ROSTER,1
2022,22,0004,13813,0.97,2022 ERFA,ROSTER,1
2022,22,0004,12175,16.7,2022 UFA,ROSTER,1
2022,22,0004,13281,2.1,2022 UFA,ROSTER,2
2022,22,0004,13672,8.34,2021 EXT,ROSTER,1
2022,22,0004,14283,0.9,2022 UFA,ROSTER,1
2022,22,0004,15802,0.9,2022 UFA,ROSTER,1
2022,22,0004,12767,3.74,2021 SRFA,ROSTER,2
2022,22,0004,13134,1.5,2022 UFA,ROSTER,1
2022,22,0004,14858,1.22,2020 3.01,ROSTER,2
2022,22,0004,12083,0.9,2022 R/F,ROSTER,2
2022,22,0004,15710,0.77,2022 UDFA,ROSTER,3
2022,22,0004,13598,1.3,2022 UFA,ROSTER,1
2022,22,0004,10457,0.9,2022 UFA,ROSTER,1
2022,22,0004,13809,2.98,2021 EXT,ROSTER,2
2022,22,0004,14800,3.94,2020 1.07,ROSTER,2
2022,22,0004,14405,1.0,2022 UFA,ROSTER,1
2022,22,0004,14900,1.0,2022 UFA,ROSTER,1
2022,22,0004,15904,1.0,2022 UFA,ROSTER,1
2022,22,0004,13688,1.3,2022 UFA,ROSTER,1
2022,22,0004,13592,1.4,2022 UFA,ROSTER,1
2022,22,0004,13230,1.3,2022 UFA,INJURED_RESERVE,1
2022,22,0004,15430,0.88,2021 4.21,INJURED_RESERVE,3
2022,22,0004,14149,2.16,2021 EXT,INJURED_RESERVE,3
2022,22,0004,14268,0.99,2022 ERFA,INJURED_RESERVE,1
2022,22,0004,14056,9.62,2019 1.01+,INJURED_RESERVE,1
2022,22,0005,11244,29.04,2020 TToff,ROSTER,1
2022,22,0005,14841,1.28,2020 2.15,ROSTER,2
2022,22,0005,14075,2.54,2019 2.16^,ROSTER,1
2022,22,0005,14163,3.99,2019 3.07^,ROSTER,1
2022,22,0005,14157,3.66,2019 1.10,ROSTER,1
2022,22,0005,14842,1.78,2020 2.03,ROSTER,2
2022,22,0005,12795,3.74,2021 SRFA,ROSTER,1
2022,22,0005,11317,6.71,2021 EXT,ROSTER,2
2022,22,0005,11674,12.1,2021 B/R,ROSTER,1
2022,22,0005,13116,26.97,2020 EXT,ROSTER,4
2022,22,0005,15349,1.45,2021 2.09,ROSTER,3
2022,22,0005,15352,1.58,2021 2.06,ROSTER,3
2022,22,0005,13848,1.43,2021 UFA,ROSTER,1
2022,22,0005,10783,3.3,2021 UFA,ROSTER,1
2022,22,0005,10976,3.24,2022 NEFT,ROSTER,1
2022,22,0005,15754,3.54,2022 1.08,ROSTER,4
2022,22,0005,15808,1.57,2022 2.07,ROSTER,4
2022,22,0005,13920,1.3,2022 UFA,ROSTER,1
2022,22,0005,10775,10.0,2022 UFA,ROSTER,2
2022,22,0005,13742,1.3,2022 UFA,ROSTER,1
2022,22,0005,14217,0.9,2022 R/F,ROSTER,2
2022,22,0005,14222,1.3,2022 UFA,ROSTER,1
2022,22,0005,14270,1.3,2022 UFA,ROSTER,1
2022,22,0005,13288,0.9,2022 UFA,ROSTER,1
2022,22,0005,14239,1.3,2022 UFA,ROSTER,1
2022,22,0005,15716,0.98,2022 3.17,ROSTER,3
2022,22,0005,13296,0.9,2022 R/F,ROSTER,2
2022,22,0005,14017,1.3,2022 UFA,ROSTER,1
