season,week,franchise_id,player_id,status,salary,contractInfo,contractYear,as_of
2025,12,0001,13782,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,16287,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,10266,ROSTER,12.35,2025 UFA,2,2025-11-20
2025,12,0001,12956,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,15365,ROSTER,8.7,2025 UFA,1,2025-11-20
2025,12,0001,14219,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,14170,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,15121,ROSTER,1.1,2025 UFA,1,2025-11-20
2025,12,0001,16165,ROSTER,1.34,2023 3.07,2,2025-11-20
2025,12,0001,16757,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,15866,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0001,15380,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0001,14888,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,16192,ROSTER,1.9,2025 UFA,1,2025-11-20
2025,12,0001,15727,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0001,15358,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,16292,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0001,16451,ROSTER,1.8,2025 UFA,1,2025-11-20
2025,12,0001,12140,TAXI_SQUAD,1.5,2025 UFA,1,2025-11-20
2025,12,0001,16253,TAXI_SQUAD,1.8,2025 UFA,1,2025-11-20
2025,12,0001,13629,TAXI_SQUAD,14.11,2024 B/R,1,2025-11-20
2025,12,0001,17097,TAXI_SQUAD,0.95,2025 5.08,4,2025-11-20
2025,12,0002,14153,ROSTER,14.69,2025 oEXT,2,2025-11-20
2025,12,0002,15794,ROSTER,5.35,2022 3.06^,1,2025-11-20
2025,12,0002,15762,ROSTER,3.23,2022 1.13,1,2025-11-20
2025,12,0002,16262,ROSTER,1.12,2023 4.09,2,2025-11-20
2025,12,0002,15756,ROSTER,5.75,2022 1.06,1,2025-11-20
2025,12,0002,14802,ROSTER,17.6,2024 iEXT,2,2025-11-20
2025,12,0002,14779,ROSTER,15.14,2023 iEXT,4,2025-11-20
2025,12,0002,16251,ROSTER,1.1,2023 4.15,2,2025-11-20
2025,12,0002,14832,ROSTER,37.73,2024 NEFToff,3,2025-11-20
2025,12,0002,12225,ROSTER,11.5,2024 B/R,1,2025-11-20
2025,12,0002,16655,ROSTER,1.42,2024 2.16,3,2025-11-20
2025,12,0002,13837,ROSTER,10.0,2024 UFA,2,2025-11-20
2025,12,0002,14249,ROSTER,7.5,2024 UFA,1,2025-11-20
2025,12,0002,10783,ROSTER,1.1,2024 R/F,1,2025-11-20
2025,12,0002,14897,ROSTER,21.51,2024 UFA,3,2025-11-20
2025,12,0002,13844,ROSTER,1.1,2025 ERFA,1,2025-11-20
2025,12,0002,15428,ROSTER,1.1,2025 ERFA,1,2025-11-20
2025,12,0002,16736,ROSTER,1.0,2025 R/F,2,2025-11-20
2025,12,0002,14669,ROSTER,1.1,2025 ERFA,1,2025-11-20
2025,12,0002,15290,ROSTER,42.24,2025 NEFT,1,2025-11-20
2025,12,0002,17116,ROSTER,0.9,2025 UDFA,3,2025-11-20
2025,12,0002,15979,ROSTER,1.86,2025 UFA,3,2025-11-20
2025,12,0002,15757,ROSTER,1.3,2022 3.19,1,2025-11-20
2025,12,0002,17161,ROSTER,0.9,2025 UDFA,3,2025-11-20
2025,12,0002,17033,ROSTER,1.12,2025 3.17,4,2025-11-20
2025,12,0002,17056,ROSTER,0.95,2025 5.07,4,2025-11-20
2025,12,0002,17138,ROSTER,1.15,2025 3.14,4,2025-11-20
2025,12,0002,16670,ROSTER,0.98,2024 5.13,3,2025-11-20
2025,12,0002,16300,ROSTER,3.0,2025 UFA,1,2025-11-20
2025,12,0002,14283,ROSTER,1.1,2024 R/F,1,2025-11-20
2025,12,0002,14997,ROSTER,2.6,2025 UFA,1,2025-11-20
2025,12,0002,16145,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0002,15378,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0002,15240,ROSTER,1.0,2025 UFA,1,2025-11-20
2025,12,0002,12677,ROSTER,1.0,2025 R/F,2,2025-11-20
2025,12,0002,14154,ROSTER,1.8,2025 UFA,1,2025-11-20
