season,week,franchise_id,player_id,contractYear,status,salary,contractInfo,as_of
2025,1,2,12677,2,ROSTER,1.0,2025 R/F,2025-09-02
2025,1,2,13844,1,ROSTER,1.1,2025 ERFA,2025-09-02
2025,1,2,15428,1,ROSTER,1.1,2025 ERFA,2025-09-02
2025,1,2,16736,2,ROSTER,1.0,2025 R/F,2025-09-02
2025,1,2,14669,1,ROSTER,1.1,2025 ERFA,2025-09-02
2025,1,2,15290,1,ROSTER,42.24,2025 NEFT,2025-09-02
2025,1,2,17116,3,ROSTER,0.9,2025 UDFA,2025-09-02
2025,1,2,15981,2,ROSTER,1.0,2025 R/F,2025-09-02
2025,1,2,15979,3,ROSTER,1.86,2025 UFA,2025-09-02
2025,1,2,15757,1,ROSTER,1.3,2022 3.19,2025-09-02
2025,1,2,16258,2,ROSTER,1.13,2023 4.07,2025-09-02
2025,1,2,17161,3,ROSTER,0.9,2025 UDFA,2025-09-02
2025,1,2,17033,4,ROSTER,1.12,2025 3.17,2025-09-02
2025,1,2,17056,4,ROSTER,0.95,2025 5.07,2025-09-02
2025,1,2,17138,4,ROSTER,1.15,2025 3.14,2025-09-02
2025,1,2,13888,1,ROSTER,1.0,2025 UFA,2025-09-02
2025,1,2,15240,1,ROSTER,1.0,2025 UFA,2025-09-02
2025,1,2,15448,1,ROSTER,1.0,2025 UFA,2025-09-02
2025,1,2,12175,1,ROSTER,7.0,2025 B/R,2025-09-02
2025,1,2,16688,2,ROSTER,1.04,2024 4.08,2025-09-02
2025,1,2,13228,1,ROSTER,1.0,2025 UFA,2025-09-02
2025,1,2,17200,1,TAXI_SQUAD,1.0,2025 UFA,2025-09-02
2025,1,2,16670,3,TAXI_SQUAD,0.98,2024 5.13,2025-09-02
2025,1,2,16352,1,TAXI_SQUAD,1.0,2025 UFA,2025-09-02
2025,1,3,15819,1,ROSTER,1.78,2022 2.13,2025-09-02
2025,1,3,16188,2,ROSTER,3.73,2023 1.09,2025-09-02
2025,1,3,16184,2,ROSTER,1.59,2023 2.13,2025-09-02
2025,1,3,14127,1,ROSTER,9.12,2024 iEXT,2025-09-02
2025,1,3,14147,3,ROSTER,19.36,2023 UFA,2025-09-02
2025,1,3,15832,1,ROSTER,5.35,2022 4.11^,2025-09-02
2025,1,3,14171,2,ROSTER,10.89,2024 B/R,2025-09-02
2025,1,3,15708,1,ROSTER,11.66,2022 1.01,2025-09-02
2025,1,3,12611,3,ROSTER,18.7,2024 UFA,2025-09-02
2025,1,3,14071,1,ROSTER,11.5,2024 UFA,2025-09-02
2025,1,3,16579,3,ROSTER,7.41,2024 1.02,2025-09-02
2025,1,3,16641,3,ROSTER,4.02,2024 1.07,2025-09-02
2025,1,3,16650,3,ROSTER,1.86,2024 2.05,2025-09-02
2025,1,3,13223,1,ROSTER,2.32,2024 iEXT,2025-09-02
2025,1,3,14179,2,ROSTER,7.22,2024 iEXT,2025-09-02
2025,1,3,13630,1,ROSTER,20.33,2024 iEXT,2025-09-02
2025,1,3,16212,2,ROSTER,2.53,2023 1.15,2025-09-02
2025,1,3,15809,1,ROSTER,2.24,2022 2.05,2025-09-02
2025,1,3,15836,1,ROSTER,1.25,2022 4.01,2025-09-02
2025,1,3,14159,2,ROSTER,14.4,2023 UFA,2025-09-02
2025,1,3,13737,1,ROSTER,8.87,2025 NEFT,2025-09-02
2025,1,3,14860,1,ROSTER,1.1,2025 ERFA,2025-09-02
2025,1,3,13869,1,ROSTER,1.09,2025 ERFA,2025-09-02
2025,1,3,14833,4,ROSTER,8.8,2025 ORFA1,2025-09-02
2025,1,3,14900,2,ROSTER,9.5,2025 B/R,2025-09-02
2025,1,3,17081,4,ROSTER,2.58,2025 1.14,2025-09-02
2025,1,3,17052,4,ROSTER,1.64,2025 2.10,2025-09-02
2025,1,3,17144,4,ROSTER,1.46,2025 2.15,2025-09-02
2025,1,3,14218,2,ROSTER,5.89,2025 UFA,2025-09-02
2025,1,3,13952,2,ROSTER,5.13,2025 UFA,2025-09-02
2025,1,3,14717,1,ROSTER,1.8,2025 UFA,2025-09-02
2025,1,3,15003,1,ROSTER,1.8,2025 UFA,2025-09-02
2025,1,3,13920,1,ROSTER,2.6,2025 UFA,2025-09-02
2025,1,3,16593,3,ROSTER,1.35,2024 3.03,2025-09-02
2025,1,3,16660,3,ROSTER,1.21,2024 3.11,2025-09-02
2025,1,3,16252,2,ROSTER,1.2,2023 3.18,2025-09-02
2025,1,3,17125,4,ROSTER,1.18,2025 3.12,2025-09-02
2025,1,3,16603,3,ROSTER,1.07,2024 4.05,2025-09-02
2025,1,3,15799,1,ROSTER,1.09,2025 ERFA,2025-09-02
2025,1,3,16284,2,ROSTER,1.06,2023 5.09,2025-09-02
2025,1,3,17128,4,ROSTER,1.07,2025 4.01,2025-09-02
2025,1,3,13317,2,ROSTER,1.0,2025 R/F,2025-09-02
2025,1,3,17149,4,ROSTER,0.98,2025 4.16,2025-09-02
2025,1,3,16684,3,ROSTER,0.99,2024 5.04,2025-09-02
2025,1,3,13265,1,TAXI_SQUAD,1.1,2024 R/F,2025-09-02
2025,1,3,16350,1,TAXI_SQUAD,1.8,2025 UFA,2025-09-02
2025,1,4,14782,2,ROSTER,10.48,2023 iEXT,2025-09-02
2025,1,4,15753,1,ROSTER,9.82,2022 1.02,2025-09-02
