season,contractInfo,id,salary,contractYear,conference,asof
2018,2018 UFA,3494,0.9,1.0,0,
2018,2018 UFA,11801,1.1,2.0,0,
2018,2018 UDFA,13782,0.5,3.0,0,
2018,2017 UFA,12349,0.66,1.0,0,
2018,Inaugural,12186,7.99,3.0,0,
2018,2018 UFA,13763,0.6,3.0,0,
2018,2018 UFA,12632,1.1,2.0,0,
2018,2018 UFA,13119,0.6,1.0,0,
2018,2016 1.04,12648,4.96,2.0,0,
2018,2018 B/R,11757,12.6,1.0,0,
2018,Inaugural,12188,1.33,2.0,0,
2018,2018 UFA,13281,0.6,1.0,0,
2018,2017 FRFA,11516,3.19,2.0,0,
2018,2018 SRFA,12630,4.5,3.0,0,
2018,2018 UFA,12623,0.6,2.0,0,
2018,2018 UFA,12448,0.6,2.0,0,
2018,Inaugural,9825,12.71,1.0,0,
2018,2017 UFA,12234,1.21,1.0,0,
2018,Inaugural,11695,6.05,2.0,0,
2018,2018 UFA,13294,0.6,2.0,0,
2018,2017 UFA,9662,1.76,2.0,0,
2018,2018 6.14,13726,0.6,4.0,0,
2018,2018 5.01,13716,0.7,4.0,0,
2018,2018 1.15,13697,2.2,4.0,0,
2018,2018 UFA,13850,1.2,2.0,0,
2018,2018 UFA,12844,0.7,2.0,0,
2018,2018 UFA,11250,2.5,3.0,0,
2018,2018 ERFA,13404,0.66,1.0,0,
2018,2016 1.01,12625,6.78,2.0,0,
2018,2018 UFA,13303,0.6,2.0,0,
2018,2018 UFA,11789,1.2,2.0,0,
2018,2018 UFA,10838,1.1,2.0,0,
2018,2017 1.13,13189,2.53,2.0,0,
2018,2017 SRFA,11850,3.19,3.0,0,
2018,Inaugural,11247,6.29,2.0,0,
2018,2018 UFA,13327,1.1,2.0,0,
2018,2017 UFA,13257,0.66,1.0,0,
2018,Inaugural,11671,17.55,2.0,0,
2018,2018 2.03,13699,1.9,4.0,0,
2018,2017 3.12,13236,1.1,2.0,0,
2018,2018 UFA,12860,0.6,2.0,0,
2018,2018 UFA,12990,0.7,2.0,0,
2018,2018 UFA,13919,1.1,2.0,0,
2018,2017 EXT,7393,6.14,2.0,0,
2018,2018 3.07,13713,1.2,4.0,0,
2018,2018 UFA,8062,0.6,2.0,0,
2018,Inaugural,9064,3.03,1.0,0,
2018,2016 UFA,12222,2.06,1.0,0,
2018,2018 UFA,13778,0.6,3.0,0,
2018,2016 5.09,12734,1.21,1.0,0,
2018,2018 UFA,10699,0.6,2.0,0,
2018,2018 UFA,11711,0.6,2.0,0,
2018,2018 UFA,14029,0.6,2.0,0,
2018,2018 UFA,14012,0.6,2.0,0,
2018,2017 1.14,13134,2.42,3.0,0,
2018,2018 UFA,10339,1.6,1.0,0,
2018,2017 2.07,13215,1.76,3.0,0,
2018,2018 UFA,13653,1.2,2.0,0,
2018,2018 UFA,13666,0.6,2.0,0,
2018,2017 1.01,13129,6.93,3.0,0,
2018,2018 UFA,12217,1.2,2.0,0,
2018,Inaugural,11660,12.1,1.0,0,
2018,2018 1.14,13617,2.3,4.0,0,
2018,2018 UFA,12714,1.3,1.0,0,
2018,2018 ERFA,11764,0.66,1.0,0,
2018,2018 UFA,12647,3.5,3.0,0,
2018,Inaugural,12205,2.78,2.0,0,
2018,2018 UFA,11975,1.1,2.0,0,
2018,2018 2.09,13646,1.6,4.0,0,
2018,2018 UFA,9694,0.8,1.0,0,
2018,2017 SRFA,9250,2.42,1.0,0,
2018,2018 UFA,13888,0.6,3.0,0,
2018,2017 EXT,11760,5.08,4.0,0,
2018,2017 1.08,13198,3.41,3.0,0,
2018,2018 UFA,12295,1.1,2.0,0,
2018,2018 2.12,13672,1.5,4.0,0,
2018,2017 UFA,10789,0.88,1.0,0,
2018,2018 UFA,8673,6.0,1.0,0,
2018,2018 UFA,13297,0.6,2.0,0,
2018,2017 UDFA,13317,0.55,2.0,0,
2018,2017 2.12,13163,1.54,3.0,0,
2018,2018 3.08,13674,1.2,3.0,0,
2018,2016 1.09,12611,3.27,2.0,0,
2018,2018 UFA,12278,4.5,2.0,0,
2018,2017 UFA,12271,1.87,2.0,0,
2018,2017 5.02,13277,0.66,3.0,0,
2018,2018 FRFA,11239,3.1,2.0,0,
2018,Inaugural,10960,3.63,1.0,0,
2018,Inaugural,12151,4.48,4.0,0,
2018,2018 UFA,7877,1.2,1.0,0,
2018,2018 UFA,8359,1.5,2.0,0,
2018,2018 UFA,12751,1.5,3.0,0,
2018,2018 UFA,8153,1.1,2.0,0,
2018,Inaugural,9826,3.87,2.0,0,
2018,2018 SRFA,9925,5.5,2.0,0,
2018,2018 UFA,12814,1.0,2.0,0,
2018,2018 B/R,10261,18.2,2.0,0,
2018,2018 4.15,13746,0.8,3.0,0,
2018,2018 UFA,10432,1.2,2.0,0,
2018,2018 UFA,12215,0.6,2.0,0,
2018,Inaugural,9828,7.02,1.0,0,
2018,2017 UFA,13273,0.66,1.0,0,
2018,2017 B/R,9902,16.5,1.0,0,
2018,2018 1.04,13605,4.7,4.0,0,
2018,2018 UFA,12298,0.6,1.0,0,
2018,2018 NEFT,12150,16.8,1.0,0,
2018,2017 UFA,10457,0.66,1.0,0,
2018,2018 UFA,13430,0.6,1.0,0,
2018,2018 UFA,9820,0.6,1.0,0,
2018,2018 5.07,13740,0.7,3.0,0,
2018,2018 4.07,13649,0.9,4.0,0,
2018,2018 UFA,13812,1.1,1.0,0,
2018,2018 6.15,13683,0.6,4.0,0,
2018,2018 UFA,11281,1.1,2.0,0,
2018,2018 UFA,12764,1.1,2.0,0,
2018,2018 UFA,12712,0.6,2.0,0,
2018,2018 UFA,12252,0.6,1.0,0,
2018,2018 UFA,10592,0.7,1.0,0,
2018,2018 UFA,11448,0.6,1.0,0,
2018,2018 UFA,12910,0.6,2.0,0,
2018,2018 UFA,13801,0.6,2.0,0,
2018,2018 UFA,11872,0.6,2.0,0,
