season,contractInfo,contractYear,salary,id,conference
2021,2021 UFA,1,0.90,13354,0
2021,2021 B/R,3,3,12752,0
2021,2020 UFA,2,0.88,15034,0
2021,2021 B/R,1,2.50,9051,0
2021,2019 UFA,1,1.57,12779,0
2021,2019 2.01,2,2.37,14112,0
2021,2021 UDFA,3,0.73,15380,0
2021,2021 UFA,1,0.90,13718,0
2021,2021 EXT,3,9.93,11644,0
2021,2021 UFA,1,4.30,13364,0
2021,2021 UFA,1,0.90,12394,0
2021,2021 UFA,1,0.90,15432,0
2021,2021 2.07,4,1.40,15258,0
2021,2020 5.16,2,0.83,14850,0
2021,2020 3.02,3,1.09,14888,0
2021,2018 4.02^,1,2.18,13668,0
2021,2021 1.03,4,5.41,15281,0
2021,2020 3.10,3,0.99,14927,0
2021,2021 EXT,4,2.40,13681,0
2021,2021 EXT,4,11.24,13610,0
2021,2021 3.20,3,0.89,15364,0
2021,2021 UFA,2,3.20,13322,0
2021,2021 UFA,1,0.90,12280,0
2021,2021 UFA,3,4.40,12739,0
2021,2020 2.15,3,1.16,14841,0
2021,2018 FRFA,2,4.12,11706,0
2021,2020 UFA,1,3.30,10308,0
2021,2021 R/F,1,0.90,14630,0
2021,2021 UFA,1,0.90,13412,0
2021,2021 B/R,4,2.60,12250,0
2021,2021 2.03,4,1.60,15290,0
2021,2021 2.06,4,1.44,15352,0
2021,2021 R/F,1,0.90,13675,0
2021,2020 EXT,3,9.60,13146,0
2021,2021 EXT,3,19.07,13128,0
2021,2021 UFA,1,1.20,9474,0
2021,2021 UFA,1,0.90,13844,0
2021,2021 B/R,2,11,11674,0
2021,2019 EXT,1,14.25,12175,0
2021,2021 UFA,1,1,15484,0
2021,2020 SRFA,2,19.03,10700,0
2021,2021 UFA,2,1.30,13662,0
2021,2021 UFA,1,1,12360,0
2021,2021 UFA,1,1,10762,0
2021,2021 4.19,2,0.81,15410,0
2021,2020 UFA,1,0.88,8742,0
2021,2019 6.13,2,0.69,14225,0
2021,2021 B/R,3,4.50,12184,0
2021,2021 UFA,1,1.30,15029,0
2021,2020 EXT,2,4.28,13216,0
2021,2021 UFA,1,0.90,15001,0
2021,2021 UFA,1,0.90,14935,0
2021,2021 UDFA,3,0.73,15321,0
2021,2021 B/R,2,6,13592,0
2021,2021 EXT,3,5.36,13688,0
2021,2020 UFA,1,10.45,10768,0
2021,2020 4.06,3,0.90,14883,0
2021,2020 UFA,2,1.43,14911,0
2021,2021 UFA,1,3.90,13710,0
2021,2020 EXT,4,7.50,13153,0
2021,2021 RRFA,1,7,10816,0
2021,2020 UDFA,2,0.76,14845,0
2021,2021 1.15,4,1.90,15373,0
2021,2021 UFA,1,0.90,13479,0
2021,2021 UFA,1,0.90,12164,0
2021,2020 6.10,3,0.81,14898,0
2021,2021 5.11,3,0.78,15396,0
2021,2021 UFA,1,1.20,14219,0
2021,2021 UFA,1,0.90,14876,0
2021,2020 4.08,2,0.89,14907,0
2021,2021 TToff,3,3,13782,0
2021,2021 RRFA,2,2.10,12349,0
2021,2020 EXT,1,16.71,12186,0
2021,2020 6.08,3,0.81,14903,0
2021,2020 2.07,3,1.40,14805,0
2021,2021 UFA,1,0.90,12842,0
2021,2020 1.07,3,3.58,14800,0
2021,2019 EXT,2,9.29,11757,0
2021,2021 UFA,1,2.20,13281,0
2021,2020 UFA,1,0.88,11516,0
2021,2021 UFA,2,3.40,12630,0
2021,2020 5.04,2,0.85,14921,0
2021,2021 UFA,1,0.90,14315,0
2021,2021 UFA,2,1.30,9825,0
2021,2021 UFA,3,2.20,12234,0
2021,2020 3.09,3,1.00,14847,0
2021,2021 UFA,1,0.90,15464,0
2021,2021 EXT,2,2.47,13726,0
2021,2018 5.01,1,0.94,13716,0
2021,2018 1.15,1,2.93,13697,0
2021,2020 2.16,3,1.13,14844,0
2021,2021 SRFA,2,3.40,13850,0
2021,2021 UFA,1,0.90,14322,0
2021,2020 1.04,3,5.07,14803,0
2021,2021 UFA,1,0.90,14401,0
2021,2019 SRFA,1,3.03,13404,0
2021,2019 EXT,3,9.80,12625,0
2021,2021 UFA,1,0.90,13303,0
2021,2021 B/R,3,5,13189,0
2021,2021 B/R,1,6.50,11247,0
2021,2021 3.13,4,0.95,15302,0
2021,2021 1.06,4,3.72,15253,0
2021,2021 UFA,1,0.90,15275,0
2021,2020 3.14,3,0.95,14808,0
2021,2021 B/R,1,26.50,11671,0
2021,2018 2.03^,1,2.53,13699,0
2021,2021 UFA,3,2,13236,0
2021,2021 UFA,1,0.90,12860,0
2021,2019 2.02,2,2.28,14137,0
2021,2021 UFA,2,1.30,15270,0
2021,2021 1.07,4,3.36,15238,0
2021,2021 UFA,4,2.10,13919,0
2021,2021 EXT,3,5.32,13713,0
2021,2019 FRFA,2,3.99,12222,0
2021,2021 SRFA,2,3.40,12734,0
2021,2021 UFA,1,0.90,8851,0
2021,2021 UFA,1,0.90,13933,0
2021,2021 UFA,1,0.90,13134,0
2021,2021 UFA,2,5.10,13129,0
2021,2021 ERFA,1,0.90,12217,0
2021,2021 EXT,3,1.58,15032,0
2021,2018 1.14,1,3.06,13617,0
2021,2021 3.03,4,1.08,15331,0
2021,2020 UFA,2,1.43,14991,0
2021,2021 UFA,1,1.20,12714,0
2021,2021 UFA,2,1.30,11764,0
2021,2021 B/R,3,10,12647,0
2021,2020 6.14,2,0.81,14904,0
2021,2021 EXT,3,2.71,13809,0
2021,2021 UFA,1,0.90,14237,0
2021,2021 4.06,4,0.85,15255,0
2021,2021 UFA,1,0.90,14901,0
2021,2018 2.09^,1,2.18,13646,0
2021,2020 UFA,1,1.43,9694,0
2021,2017 EXT,1,6.77,11760,0
2021,2020 EXT,3,8.95,13198,0
2021,2021 EXT,4,1.96,14149,0
2021,2021 FRFA,3,4.80,14081,0
2021,2021 R/F,1,0.90,14244,0
2021,2020 2.09,2,1.32,14926,0
2021,2021 EXT,2,7.58,13672,0
2021,2020 2.13,3,1.20,14852,0
2021,2021 UFA,1,0.90,15499,0
2021,2021 UFA,1,0.90,14962,0
2021,2021 B/R,4,4,13317,0
2021,2020 EXT,4,30.72,13163,0
2021,2020 EXT,4,3.06,13674,0
2021,2019 EXT,3,4.95,12611,0
2021,2020 UFA,1,0.88,12278,0
2021,2021 UFA,4,13,13277,0
2021,2021 UFA,1,1.20,11239,0
2021,Inaugural,1,5.96,12151,0
2021,2021 UFA,1,0.90,9826,0
2021,2021 UFA,1,0.90,9925,0
2021,2021 UFA,1,0.90,14405,0
2021,2021 UDFA,3,0.73,15419,0
2021,2021 UFA,1,1.30,12814,0
2021,2021 2.12,4,1.23,15381,0
2021,2021 UDFA,3,0.73,15337,0
2021,2021 UFA,1,2,10261,0
2021,2021 UFA,1,1.30,13746,0
2021,2021 UFA,1,0.90,14882,0
2021,2021 UFA,1,3.10,14247,0
2021,2021 R/F,2,0.90,12215,0
