season,contractInfo,id,salary,contractYear,conference
2018,2017 2.07,13215,1.76,3,0
2018,2018 UFA,13653,1.2,2,0
2018,2018 UFA,13666,0.6,2,0
2018,2017 1.01,13129,6.93,3,0
2018,2018 UFA,12217,1.2,2,0
2018,Inaugural,11660,12.10,1,0
2018,2018 1.14,13617,2.3,4,0
2018,2018 UFA,12714,1.3,1,0
2018,2018 ERFA,11764,0.66,1,0
2018,2018 UFA,12647,3.5,3,0
2018,Inaugural,12205,2.78,2,0
2018,2018 UFA,11975,1.1,2,0
2018,2018 2.09,13646,1.60,4,0
2018,2018 UFA,9694,.8,1,0
2018,2017 SRFA,9250,2.42,1,0
2018,2018 UFA,13888,0.6,3,0
2018,2017 EXT,11760,5.08,4,0
2018,2017 1.08,13198,3.41,3,0
2018,2018 UFA,12295,1.1,2,0
2018,2018 2.12,13672,1.50,4,0
2018,2017 UFA,10789,0.88,1,0
2018,2018 UFA,8673,6.00,1,0
2018,2018 UFA,13297,0.6,2,0
2018,2017 UDFA,13317,0.55,2,0
2018,2017 2.12,13163,1.54,3,0
2018,2018 3.08,13674,1.20,3,0
2018,2016 1.09,12611,3.27,2,0
2018,2018 UFA,12278,4.5,2,0
2018,2017 UFA,12271,1.87,2,0
2018,2017 5.02,13277,0.66,3,0
2018,2018 FRFA,11239,3.10,2,0
2018,Inaugural,10960,3.63,1,0
2018,Inaugural,12151,4.48,4,0
2018,2018 UFA,7877,1.2,1,0
2018,2018 UFA,8359,1.5,2,0
2018,2018 UFA,12751,1.5,3,0
2018,2018 UFA,8153,1.1,2,0
2018,Inaugural,9826,3.87,2,0
2018,2018 SRFA,9925,5.50,2,0
2018,2018 UFA,12814,1.0,2,0
2018,2018 B/R,10261,18.20,2,0
2018,2018 4.15,13746,0.80,3,0
2018,2018 UFA,10432,1.2,2,0
2018,2018 UFA,12215,0.6,2,0
2018,Inaugural,9828,7.02,1,0
2018,2017 UFA,13273,0.66,1,0
2018,2017 B/R,9902,16.50,1,0
2018,2018 1.04,13605,4.70,4,0
2018,2018 UFA,12298,0.6,1,0
2018,2018 NEFT,12150,16.80,1,0
2018,2017 UFA,10457,0.66,1,0
2018,2018 UFA,13430,0.6,1,0
2018,2018 UFA,9820,0.6,1,0
2018,2018 5.07,13740,0.70,3,0
2018,2018 4.07,13649,0.90,4,0
2018,2018 UFA,13812,1.1,1,0
2018,2018 6.15,13683,0.60,4,0
2018,2018 UFA,11281,1.1,2,0
2018,2018 UFA,12764,1.10,2,0
2018,2018 UFA,12712,0.6,2,0
2018,2018 UFA,12252,0.6,1,0
2018,2018 UFA,10592,0.7,1,0
2018,2018 UFA,11448,0.6,1,0
2018,2018 UFA,12910,0.6,2,0
2018,2018 UFA,13801,0.6,2,0
2018,2018 UFA,11872,0.6,2,0
2018,2017 EXT,11045,3.49,2,0
2018,2018 5.03,13715,0.70,4,0
2018,2018 UFA,11543,0.6,2,0
2018,2018 UFA,13922,0.6,3,0
2018,Inaugural,10945,2.06,1,0
2018,2016 1.16,12626,2.30,2,0
2018,2016 2.13,12676,1.57,2,0
2018,2018 UFA,12789,0.6,2,0
2018,2018 UFA,13679,0.6,2,0
2018,2018 UFA,12208,0.6,2,0
2018,Inaugural,10266,5.20,1,0
2018,2017 FRFA,10823,3.19,2,0
2018,2017 UFA,12287,1.21,1,0
2018,2017 ORFA,12678,1.65,2,0
2018,2018 UFA,12656,1.1,1,0
2018,2018 UDFA,13742,0.50,3,0
2018,2018 UFA,13945,0.6,3,0
2018,2018 UFA,13424,0.6,2,0
2018,2017 EXT,12801,3.05,4,0
2018,2018 UFA,13414,1.2,1,0
2018,Inaugural,10729,13.43,1,0
2018,2018 4.01,13622,0.90,4,0
2018,2018 ORFA,11795,3.5,2,0
2018,2018 UFA,11303,1.2,1,0
2018,2017 ORFA,10983,4.51,2,0
2018,2017 3.08,13228,1.21,3,0
2018,2016 3.05,12677,1.21,2,0
2018,Inaugural,11232,24.20,2,0
2018,Inaugural,10277,1.69,1,0
2018,2018 FRFA,12634,5,3,0
2018,2017 1.09,13188,3.19,3,0
2018,2017 UFA,12742,1.43,2,0
2018,2018 5.10,13684,0.70,4,0
2018,2018 UFA,9577,0.6,1,0
2018,2018 UFA,9853,1.60,1,0
2018,2018 UFA,13731,1.6,1,0
2018,2017 UDFA,13223,0.55,2,0
2018,2017 UFA,12505,0.66,1,0
2018,2018 UFA,12142,0.6,2,0
2018,2017 2.09,13138,1.65,2,0
2018,2018 UFA,11274,1.7,2,0
2018,2018 FRFA,12221,6.80,2,0
2018,2018 ORFA,11925,5.00,2,0
2018,2018 2.11,13680,1.50,4,0
2018,2018 3.01,13691,1.30,4,0
2018,2018 UFA,11657,1.2,1,0
2018,Inaugural,10276,9.80,1,0
2018,2018 FRFA,10749,7.2,3,0
2018,2018 UFA,11957,0.6,2,0
2018,2018 UFA,12797,0.6,1,0
2018,2017 UFA,12536,2.64,1,0
2018,2017 SRFA,12702,2.86,1,0
2018,2017 5.11,13226,0.66,3,0
2018,2018 UFA,9075,2.20,2,0
2018,2018 UFA,13738,2.3,2,0
2018,2018 UFA,13229,2,3,0
2018,2018 UFA,13917,0.6,3,0
2018,2018 6.07,13708,0.60,3,0
2018,2018 UFA,13620,1.1,2,0
2018,2018 UFA,9861,0.6,2,0
2018,2018 2.01,13593,2.00,4,0
2018,Inaugural,10846,1.81,1,0
2018,2018 UFA,12737,1.1,1,0
2018,2018 2.02,13714,1.90,4,0
2018,2018 UFA,12211,1,2,0
2018,2017 FRFA,12305,3.19,3,0
2018,2018 UFA,12796,0.6,1,0
2018,2017 UFA,11327,0.66,1,0
2018,2017 B/R,10722,14.52,3,0
2018,2017 SRFA,10779,3.08,2,0
2018,2017 UFA,9430,1.32,1,0
2018,2018 UFA,11717,0.6,2,0
2018,2018 3.10,13702,1.10,3,0
2018,Inaugural,12171,17.55,3,0
2018,Inaugural,12157,4.96,2,0
2018,2017 UFA,13274,0.66,1,0
2018,2018 1.10,13612,2.90,4,0
2018,2018 UFA,13764,0.6,2,0
2018,2018 UFA,10540,1.1,2,0
2018,2018 UFA,10810,1.2,2,0
2018,2018 UFA,13848,0.6,1,0
2018,2017 4.01,13319,0.88,3,0
2018,2017 UFA,12268,1.10,1,0
2018,Inaugural,10753,3.15,2,0
2018,2018 UFA,10642,0.6,1,0
2018,2018 ORFA,12741,2.10,3,0
2018,2017 SRFA,12745,8.69,2,0
2018,2018 UFA,12988,1.2,1,0
2018,2018 UFA,13264,1.1,2,0
2018,Inaugural,10271,26.02,1,0
2018,Inaugural,10738,7.26,2,0
2018,Inaugural,9966,7.74,1,0
2018,2018 1.06,13606,3.80,4,0
2018,2017 1.11,13176,2.75,3,0
2018,Inaugural,10292,5.08,1,0
2018,2018 UFA,11263,3,2,0
2018,2018 UFA,8265,0.6,1,0
2018,2016 3.03,12717,1.33,1,0
2018,Inaugural,9904,5.81,1,0
2018,2017 UFA,11742,0.66,1,0
2018,2018 UFA,11367,0.6,2,0
2018,2018 EXT,13132,3.37,4,0
2018,2018 UFA,13301,0.6,2,0
2018,2018 UFA,11076,0.6,2,0
2018,2017 UFA,10948,0.66,1,0
2018,2018 NEFT,11244,11.16,1,0
2018,2018 3.16,13619,1.0,2,0
2018,Inaugural,12239,6.05,2,0
2018,2018 UFA,10807,1.1,1,0
2018,2018 UFA,11830,1.2,1,0
2018,Inaugural,9310,1.33,1,0
2018,2018 UFA,10280,1.1,2,0
2018,2018 6.12,13682,0.60,4,0
2018,2017 UFA,13232,2.42,2,0
2018,2018 UFA,13250,1.1,2,0
2018,2018 1.13,13633,2.40,4,0
2018,2018 FRFA,10778,3.10,1,0
2018,Inaugural,11772,1.45,1,0
2018,2018 UFA,13882,0.6,2,0
2018,2017 EXT,13299,0.99,2,0
2018,2018 UFA,13114,1.4,1,0
2018,2018 UFA,11375,0.6,1,0
2018,2017 UFA,8444,0.66,1,0
2018,2017 B/R,10773,14.52,2,0
2018,2018 UFA,12443,1.2,2,0
2018,2017 2.11,13164,1.54,3,0
2018,2018 UFA,12596,1.1,2,0
2018,2018 UFA,13989,0.6,3,0
2018,2018 4.10,13700,0.80,4,0
2018,2018 B/R,11680,13.30,3,0
2018,2017 5.01,13224,0.66,3,0
2018,2018 UFA,13601,0.6,3,0
2018,Inaugural,11769,4.84,1,0
2018,2018 UFA,13202,1.1,2,0
2018,2018 UFA,12687,0.6,2,0
2018,2018 UFA,13632,0.6,3,0
2018,2017 UFA,7578,0.66,1,0
2018,2016 2.10,12705,1.69,2,0
2018,2018 UFA,13353,0.6,1,0
2018,2017 SRFA,11672,2.42,2,0
2018,Inaugural,9866,5.57,1,0
2018,2018 2.14,13733,1.40,4,0
2018,2018 FRFA,10389,3.10,2,0
2018,2018 6.09,13687,0.60,3,0
2018,2018 EXT,13614,1.68,4,0
2018,2018 UFA,12985,1.1,2,0
2018,2018 UFA,10285,1.1,2,0
2018,2018 B/R,12187,5.00,4,0
2018,2018 UFA,12791,0.6,2,0
2018,2018 UFA,12826,1.1,2,0
2018,2018 B/R,10695,6.20,4,0
2018,2018 UFA,12956,1.1,1,0
2018,2018 UFA,8670,0.6,2,0
2018,Inaugural,11721,8.71,3,0
2018,2017 3.07,13234,1.21,3,0
2018,2018 UFA,13909,0.6,1,0
2018,2018 EXT,13116,4.62,6,0
2018,Inaugural,7391,7.87,1,0
2018,2018 UFA,12141,5.2,2,0
2018,2018 UFA,11790,0.6,2,0
2018,2018 UFA,8360,2.1,1,0
2018,2017 UFA,10709,2.20,2,0
2018,2018 UFA,11383,0.6,1,0
2018,2017 UFA,12788,0.99,1,0
2018,Inaugural,11313,7.38,1,0
2018,2018 UFA,11676,0.6,2,0
2018,2017 ORFA,10903,4.95,2,0
2018,2017 6.14,13252,0.55,1,0
2018,2018 1.11,13590,2.70,4,0
2018,2018 UFA,11491,0.6,1,0
2018,2017 EXT,13130,11.09,2,0
2018,2018 UFA,9846,0.6,2,0
2018,2017 UFA,6589,0.66,1,0
2018,2018 UFA,9819,4.3,3,0
2018,2018 UFA,11326,0.6,1,0
2018,Inaugural,11257,1.33,1,0
2018,2018 UFA,11517,1.10,1,0
2018,2018 UFA,13144,1.1,2,0
2018,2018 UFA,13313,0.6,2,0
2018,2017 3.16,13205,0.99,3,0
2018,2018 ORFA,12272,4,3,0
2018,2018 FRFA,11761,6.40,2,0
2018,2018 UFA,13108,0.6,2,0
2018,2018 UFA,11017,1.2,2,0
2018,2017 3.11,13222,1.10,3,0
2018,2017 UFA,10143,0.66,1,0
2018,2018 UFA,8721,0.6,2,0
2018,2018 UFA,13261,0.6,2,0
2018,2017 UFA,12465,1.32,2,0
2018,2018 1.09,13607,3.1,3,0
2018,2018 UFA,13307,1.10,2,0
2018,2018 2.06,13639,1.70,4,0
2018,2017 B/R,10708,9.68,1,0
2018,Inaugural,10267,7.38,1,0
2018,2018 ORFA,12716,1.60,1,0
2018,2018 UFA,11883,0.6,2,0
2018,2017 1.05,13131,4.51,2,0
2018,Inaugural,11677,6.17,4,0
2018,Inaugural,12261,1.45,1,0
2018,2018 1.08,13635,3.30,4,0
2018,2018 UFA,13348,0.6,2,0
2018,2018 UFA,13470,0.6,2,0
2018,2018 UFA,13752,0.6,,0
2018,Inaugural,11728,9.20,3,0
2018,2018 UFA,12447,1.1,2,0
2018,2018 UFA,13968,2,1,0
2018,2018 UFA,12367,0.6,2,0
2018,2018 UFA,11709,0.6,1,0
2018,2018 UFA,11390,1.3,1,0
2018,2018 UFA,12437,0.6,2,0
2018,2018 UFA,12753,0.6,2,0
2018,2017 UFA,12736,5.50,1,0
2018,2018 UFA,13785,0.6,3,0
2018,2018 UFA,9118,5.20,2,0
2018,2018 UFA,12291,0.6,1,0
2018,2018 B/R,10273,8.5,3,0
2018,2016 UFA,12756,0.73,1,0
2018,2018 UFA,13777,0.6,2,0
2018,2018 UFA,13292,0.6,2,0
2018,2018 EXT,13192,6.47,5,0
2018,2016 3.13,12696,1.09,1,0
2018,2018 UFA,13745,0.6,3,0
2018,2018 UFA,10851,1.2,2,0
2018,2018 UFA,13704,0.6,3,0
2018,2018 UFA,13701,0.6,3,0
2018,2018 UFA,11840,0.6,1,0
2018,2018 UFA,13929,0.6,2,0
2018,2016 6.04,12691,0.61,1,0
2018,Inaugural,11293,12.10,3,0
2018,2018 UFA,13265,1.2,2,0
2018,2017 UFA,11262,1.32,2,0
2018,2018 UFA,12948,0.6,2,0
2018,2018 UDFA,13709,0.50,2,0
2018,Inaugural,8687,11.86,1,0
2018,2018 UFA,13813,1.1,2,0
2018,2018 UFA,13026,1.1,2,0
2018,2018 UFA,12782,0.6,2,0
2018,2018 UFA,12176,1.3,3,0
2018,2018 UFA,10610,1.2,1,0
2018,2018 UFA,11966,1.1,1,0
2018,2018 UFA,13377,0.6,2,0
2018,2018 UFA,11225,1.1,1,0
2018,2018 3.03,13723,1.30,4,0
2018,2018 1.05,13608,4.20,4,0
2018,2017 UFA,13231,0.99,2,0
2018,2017 2.06,13133,1.87,2,0
2018,Inaugural,12197,1.57,1,0
2018,2018 B/R,12238,3.00,2,0
2018,2018 UFA,9919,1.1,1,0
2018,Inaugural,12245,5.45,3,0
2018,2017 UFA,8658,1.21,1,0
2018,2018 2.16,13634,1.40,4,0
2018,2018 UFA,12088,0.6,2,0
2018,2018 4.05,13693,0.90,4,0
2018,2018 UFA,9833,12.0,2,0
2018,Inaugural,10761,1.81,2,0
2018,2018 UFA,12938,0.6,2,0
2018,2018 UFA,10369,1.2,1,0
2018,2018 UFA,13910,1.1,2,0
2018,2018 EXT,11317,1.58,3,0
2018,2018 UFA,8930,1.1,2,0
2018,2016 UFA,12620,0.85,1,0
2018,2018 ERFA,9549,0.66,1,0
2018,2018 UFA,10269,4.2,1,0
2018,2018 6.08,13664,0.60,4,0
2018,2016 UFA,12703,1.33,1,0
2018,2018 ORFA,12711,2.90,5,0
2018,2018 EXT,12269,2.40,3,0
2018,2016 3.10,12735,1.09,1,0
2018,2018 UFA,12802,1.2,2,0
2018,2017 1.06,13245,4.07,3,0
2018,2018 UFA,13774,0.6,2,0
2018,2016 4.02,12698,0.97,2,0
2018,2018 B/R,11248,3.50,3,0
2018,2018 UFA,11323,1.1,2,0
2018,2018 3.11,13717,1.10,4,0
2018,2018 UFA,13168,1.2,2,0
2018,2018 UFA,11314,0.6,2,0
2018,2018 UFA,12912,1.2,2,0
2018,2017 UFA,11681,0.66,1,0
2018,2018 UFA,11283,6.50,2,0
2018,2018 UFA,11188,0.6,2,0
2018,2018 1.16,13629,2.10,4,0
2018,2018 UFA,13017,0.6,1,0
2018,2017 5.09,13220,0.66,3,0
2018,2018 UFA,13271,0.6,1,0
2018,2018 UFA,7394,17.1,1,0
2018,2018 UFA,12379,1.1,1,0
2018,2018 UFA,12831,1.1,2,0
2018,2018 UFA,13197,2.3,4,0
2018,2016 2.14,12697,1.45,2,0
2018,2017 B/R,11678,16.28,2,0
2018,2018 UFA,9841,1.1,2,0
2018,2018 UFA,11735,0.6,2,0
2018,Inaugural,7836,25.41,3,0
2018,2018 B/R,7401,11.50,2,0
2018,2018 UFA,12934,1.2,3,0
2018,2018 UFA,13241,1.1,2,0
2018,2018 1.03,13591,5.30,4,0
2018,2017 1.10,13155,2.97,3,0
2018,Inaugural,10312,2.06,1,0
2018,2018 3.06,13595,1.20,4,0
2018,2018 UFA,12232,0.6,2,0
2018,Inaugural,11316,1.45,1,0
2018,2017 EXT,9099,11.03,2,0
2018,2018 UFA,13796,0.6,3,0
2018,2017 2.15,13157,1.43,2,0
2018,2018 4.13,13613,0.80,4,0
2018,Inaugural,9918,7.26,2,0
2018,2017 UFA,10723,1.10,1,0
2018,2018 UFA,11980,0.6,1,0
2018,2018 EXT,12768,1.78,3,0
2018,2018 UDFA,13814,0.50,3,0
2018,2018 UDFA,13791,0.50,3,0
2018,2018 UFA,13663,0.6,2,0
2018,2018 UFA,13382,1.1,2,0
2018,2018 UFA,11697,1.1,2,0
2018,2018 UFA,13751,0.6,2,0
2018,2017 UFA,10220,0.66,1,0
2018,2017 4.08,13254,0.88,2,0
2018,2018 UFA,12657,1.1,2,0
2018,2018 UFA,11722,1.2,4,0
2018,2018 UFA,10320,4.5,2,0
2018,2016 1.05,12658,4.48,2,0
2018,2018 5.11,13744,0.70,4,0
2018,2018 UFA,13893,0.6,2,0
2018,2018 NEFT,11333,11.88,1,0
2018,2018 UFA,12767,1.2,3,0
2018,2018 UFA,10379,1,2,0
2018,Inaugural,11348,1.33,2,0
2018,2018 UFA,13389,0.6,3,0
2018,2018 UFA,12636,0.6,1,0
2018,2017 EXT,7813,6.53,2,0
2018,2018 UFA,11821,0.6,2,0
2018,Inaugural,10783,7.87,1,0
2018,2018 UFA,13768,0.6,2,0
2018,2016 2.09,12701,1.69,1,0
2018,2017 4.11,13193,0.77,3,0
2018,2018 UFA,12270,0.6,2,0
2018,2018 UFA,12444,0.6,2,0
2018,2018 1.12,13696,2.50,4,0
2018,2018 UFA,12775,0.6,2,0
