season,contractInfo,contractYear,salary,id,conference
2025,2025 SRFA,2,6.77,14800,0
2025,2025 UFA,1,1,13119,0
2025,2024 R/F,1,1.10,14472,0
2025,2025 UDFA,3,0.90,17265,0
2025,2025 R/F,2,1,14108,0
2025,2022 1.12,1,3.45,15755,0
2025,2024 iEXT,5,4.82,15779,0
2025,2023 UDFA,1,0.98,16342,0
2025,2025 R/F,2,1,13281,0
2025,2025 UFA,1,1.80,14823,0
2025,2023 2.08,2,1.80,16187,0
2025,2023 SRFA,2,5.20,14921,0
2025,2025 UFA,1,1,16218,0
2025,2022 3.04,1,1.55,15851,0
2025,2025 R/F,2,1,16663,0
2025,2023 UFA,2,3.09,13697,0
2025,2024 SRFA,1,5.38,14322,0
2025,2025 1.14,4,2.58,17081,0
2025,2025 UFA,1,1.80,13404,0
2025,2025 RRFA,3,7,13806,0
2025,2025 R/F,2,1,13303,0
2025,2025 UFA,1,2.60,15681,0
2025,2024 4.23,3,1.00,16654,0
2025,2024 oEXT,3,3.08,14303,0
2025,2025 2.15,4,1.46,17144,0
2025,2024 oEXT,2,10.45,13189,0
2025,2024 ORFA4,3,3.43,14879,0
2025,2025 ERFA,1,1.10,11247,0
2025,2024 4.21,2,1.00,16595,0
2025,2025 UFA,2,6.65,15253,0
2025,2025 5.07,4,0.95,17056,0
2025,2023 UDFA,1,0.98,16351,0
2025,2025 NEFT,1,42.24,11671,0
2025,2025 UDFA,3,0.90,17109,0
2025,2025 3.07,4,1.26,17135,0
2025,2025 UFA,1,1.80,12860,0
2025,2025 3.02,4,1.37,17103,0
2025,2025 UFA,1,2,14137,0
2025,2025 UDFA,3,0.90,17191,0
2025,2025 5.08,4,0.95,17097,0
2025,2025 ERFA,1,1.09,15799,0
2025,2025 2.11,4,1.60,17107,0
2025,2025 UDFA,3,0.90,17243,0
2025,2024 iEXT,5,9.74,15238,0
2025,2024 3.04,3,1.33,16694,0
2025,2025 ERFA,1,1.10,13713,0
2025,2025 R/F,2,1,9064,0
2025,2023 1.10,2,3.45,16190,0
2025,2024 R/F,1,1.10,12734,0
2025,2025 R/F,2,1,8851,0
2025,2022 4.10,1,1.19,15713,0
2025,2025 UFA,1,6.50,13933,0
2025,2025 ERFA,1,1.10,12217,0
2025,2025 UFA,1,1,15032,0
2025,2024 3.02,3,1.38,16619,0
2025,2024 UFA,2,10.00,13837,0
2025,2025 R/F,2,1,13770,0
2025,2024 iEXT,2,4.12,15331,0
2025,2025 R/F,2,1,14904,0
2025,2025 4.19,4,0.97,17037,0
2025,2025 5.10,4,0.95,17099,0
2025,2025 UFA,1,1,15255,0
2025,2025 UFA,1,1,13888,0
2025,2025 UFA,2,7.22,14224,0
2025,2025 UFA,1,1,11760,0
2025,2024 UFA,2,17.82,13198,0
2025,2024 iEXT,2,3.00,14149,0
2025,2025 UFA,1,1,14244,0
2025,2025 UFA,1,4,13672,0
2025,2023 1.03,2,7.21,16162,0
2025,2025 4.17,4,0.98,17060,0
2025,2025 UFA,1,1,15499,0
2025,2025 5.21,4,0.94,17155,0
2025,2025 UFA,1,1.80,14982,0
2025,2025 R/F,2,1,13317,0
2025,2023 B/R,1,26.62,13163,0
2025,2025 UFA,1,8,13674,0
2025,2024 UFA,3,18.70,12611,0
2025,2025 1.13,4,2.72,17075,0
2025,2023 4.15,2,1.10,16251,0
