season,contractInfo,id,salary,contractYear,conference
2025,2025 R/F,13172,1,2,0
2025,2023 3.09,16271,1.32,2,0
2025,2025 R/F,16736,1,2,0
2025,2025 ERFA,15872,1.10,1,0
2025,2025 3.21,17082,1.08,4,0
2025,2025 UDFA,17185,0.90,3,0
2025,2025 NEFT,12688,19.75,1,0
2025,2024 3.13,16677,1.18,3,0
2025,2024 5.01,16705,0.99,3,0
2025,2025 UDFA,17161,0.90,3,0
2025,2025 2.01,17070,2.23,4,0
2025,2024 B/R,14171,10.89,2,0
2025,2023 iEXT,14777,24.52,3,0
2025,2024 2.14,16632,1.47,3,0
2025,2025 R/F,13354,1,1,0
2025,2025 UFA,13448,5.40,1,0
2025,2025 UFA,12752,3.80,2,0
2025,2025 UFA,15418,5.70,2,0
2025,2025 UDFA,17165,0.90,3,0
2025,2025 RRFA,9051,7,1,0
2025,2023 1.14,16239,2.66,2,0
2025,2025 2.05,17123,1.91,4,0
2025,2025 ERFA,16738,1.10,1,0
2025,2025 ERFA,13718,1.10,1,0
2025,2024 UDFA,16753,0.94,2,0
2025,2025 1.09,17112,3.61,4,0
2025,2025 UDFA,17124,0.90,3,0
2025,2023 1.12,16233,3.00,2,0
2025,2025 RRFA,14251,10,1,0
2025,2023 2.01,16169,2.31,2,0
2025,2025 NEFT,15281,42.24,1,0
2025,2022 4.02,15831,1.24,1,0
2025,2024 UFA,14927,2.09,1,0
2025,2025 UFA,17269,1.80,1,0
2025,2025 UFA,13681,9.20,1,0
2025,2025 UFA,13610,2.70,1,0
2025,2024 UFA,15364,1.87,2,0
2025,2024 UFA,12739,4.75,2,0
2025,2024 iEXT,16809,4.64,5,0
2025,2025 UFA,14630,1.86,2,0
2025,2024 1.11,16617,2.93,3,0
2025,2025 4.04,17148,1.04,4,0
2025,2025 UFA,17303,1,1,0
2025,2025 R/F,12754,1,2,0
2025,2025 NEFT,15290,42.24,1,0
2025,2025 oEXT,15352,2.64,2,0
2025,2024 2.07,16665,1.75,3,0
2025,2025 R/F,13675,1,2,0
2025,2025 UFA,16295,1,1,0
2025,2025 oEXT,13146,17.71,2,0
2025,2022 4.14,15860,1.18,1,0
2025,2022 2.02^,15715,3.41,1,0
2025,2025 ERFA,13844,1.10,1,0
2025,2025 UFA,11674,1.80,1,0
2025,2025 B/R,12175,7,1,0
2025,2024 2.15,16696,1.44,3,0
2025,2024 SRFA,15484,5.38,1,0
2025,2024 2.13,16636,1.51,3,0
2025,2024 3.03,16593,1.35,3,0
2025,2024 UFA,10700,15.68,1,0
2025,2024 5.10,16640,0.98,3,0
2025,2025 UDFA,17241,0.90,3,0
2025,2024 iEXT,14225,24.24,4,0
2025,2025 UDFA,17256,0.90,3,0
2025,2024 R/F,15839,1.10,1,0
2025,2024 UDFA,16796,0.94,2,0
2025,2024 oEXT,15001,2.62,3,0
2025,2024 1.09,16581,3.38,3,0
2025,2025 UFA,14978,1.80,1,0
2025,2024 R/F,13592,1.10,1,0
2025,2025 2.02,17032,2.14,4,0
2025,2025 R/F,13688,1,2,0
2025,2024 SRFA,10768,5.38,1,0
2025,2025 oEXT,13710,2.26,1,0
2025,2024 UFA,10816,3.07,2,0
2025,2025 UFA,16752,1,1,0
2025,2022 2.15,15817,1.71,1,0
2025,2024 4.05,16603,1.07,3,0
2025,2025 ERFA,14943,1.10,1,0
2025,2024 3.17,16675,1.13,3,0
2025,2024 oEXT,15396,2.05,1,0
2025,2025 UFA,14219,1.80,1,0
2025,2022 2.09^,15821,5.35,1,0
2025,2023 3.15,16204,1.23,2,0
2025,2024 iEXT,14907,2.71,2,0
2025,2023 UDFA,16314,0.98,1,0
2025,2023 5.03,16265,1.07,2,0
2025,2023 UDFA,16278,0.98,1,0
2025,2025 UFA,15979,1.86,3,0
2025,2025 UFA,13782,1.80,1,0
2025,2024 UFA,12186,22.77,2,0
2025,2025 UFA,14903,1.90,1,0
2025,2025 5.14,17171,0.94,4,0
2025,2024 R/F,13763,1.10,1,0
2025,2025 R/F,12842,1,2,0
2025,2025 SRFA,14800,6.77,2,0
2025,2024 R/F,14472,1.10,1,0
