season,salary,contractInfo,id,contractYear,conference
2025,1.10,2024 R/F,15852,1,0
2025,0.95,2025 5.09,17059,4,0
2025,2.33,2025 1.16,17121,4,0
2025,9.12,2023 iEXT,14405,2,0
2025,1.15,2025 3.14,17138,4,0
2025,1.08,2024 4.03,16667,2,0
2025,1.10,2025 ERFA,15337,1,0
2025,1.43,2025 2.16,17120,4,0
2025,1.70,2025 oEXT,16702,2,0
2025,1.81,2023 UFA,14882,1,0
2025,5.51,2025 UFA,14247,2,0
2025,1,2025 R/F,16444,2,0
2025,1.04,2024 4.08,16688,2,0
2025,1.03,2025 4.06,17141,4,0
2025,1.02,2024 4.13,16661,3,0
2025,11.66,2022 1.01,15708,1,0
2025,1.08,2023 5.01,16235,1,0
2025,4.90,2025 UFA,14930,1,0
2025,2.76,2022 1.16,15834,1,0
2025,0.90,2025 UDFA,17199,3,0
2025,3.10,2025 UFA,15469,1,0
2025,8.23,2025 1.02,17044,4,0
2025,5.30,2025 UFA,12764,1,0
2025,1.74,2025 2.08,17137,4,0
2025,1.52,2022 3.05,15823,1,0
2025,18,2025 B/R,15254,1,0
2025,1,2025 UFA,11872,1,0
2025,2.05,2025 2.03,17072,4,0
2025,1.10,2025 ERFA,14213,1,0
2025,8.79,2024 1.01,16614,3,0
2025,2.45,2025 1.15,17068,4,0
2025,1,2025 UFA,14954,1,0
2025,1,2025 UFA,16352,1,0
2025,0.90,2025 UDFA,17105,3,0
2025,4.80,2025 1.06,17043,4,0
2025,5.45,2024 oEXT,13284,3,0
2025,1.25,2023 3.13,16280,2,0
2025,26.48,2025 NEFT,12626,1,0
2025,6.35,2025 oEXT,12676,1,0
2025,15.14,2023 iEXT,14779,4,0
2025,3.20,2025 oEXT,16303,1,0
2025,12.35,2025 UFA,10266,2,0
2025,1,2025 R/F,16460,2,0
2025,0.98,2024 5.15,16727,3,0
2025,6.53,2023 UFA,12678,1,0
2025,2.90,2025 1.12,17083,4,0
2025,17.35,2023 iEXT,14835,3,0
2025,6.37,2022 oEXT,14940,3,0
2025,5.20,2023 SRFA,13742,1,0
2025,1.25,2022 4.01,15836,1,0
2025,1.80,2025 UFA,14086,1,0
2025,28.50,2025 B/R,12801,2,0
2025,14.95,2022 iEXT,14167,2,0
2025,3.63,2023 iEXT,15441,1,0
2025,13.60,2022 iEXT,14138,1,0
2025,1,2025 R/F,15565,2,0
2025,6.64,2024 B/R,15366,3,0
2025,1,2025 R/F,13289,2,0
2025,5.80,2025 UFA,14182,1,0
2025,1,2025 UFA,13228,1,0
2025,1,2025 R/F,12677,2,0
2025,16.72,2024 UFA,11232,1,0
2025,3,2025 UFA,15361,1,0
