year,name,draft_team,stats_global_id,position,id,team,draft_year,twitter_username,cbs_id,stats_id,fleaflicker_id,status,rotoworld_id,jersey,rotowire_id,college,weight,height,draft_pick,draft_round,sportsdata_id,birthdate,nfl_id,espn_id
2018,"Charles, Orson",CIN,512099,TE,10747,CLE,2012,O_Charles80,1707633,25826,,,7457,83,8042,Georgia,257,75,21,4,b6325c85-c313-4cfb-a299-9884d5e9e389,664952400,orsoncharles/2533047,14902
2018,"Ingram, Melvin",FA,406454,DE,10749,LAC,2012,MelvinIngram,1620606,25728,,,7419,9,8133,South Carolina,250,74,18,1,2cae991f-878e-434e-9f76-fad263fad23c,609570000,melviningram/2532870,14926
2018,"Perry, Nick",GBP,459231,LB,10750,GBP,2012,NickTheGreat8,1631896,25738,8475,,7411,53,8135,USC,265,75,28,1,204e0eb0-c5ef-4522-9056-393e2e5177ea,639896400,nickperry/2533048,14929
2018,"Branch, Andre",JAC,401755,DE,10752,MIA,2012,BranchNout90,1262880,25748,8495,,7532,49,8136,Clemson,263,77,6,2,ba384269-98b5-47ee-93bb-18a4e71ad0eb,616395600,andrebranch/2532801,14952
2018,"Jones, Chandler",NEP,465583,DE,10753,ARI,2012,Chan95Jones,1971327,25731,8531,,7429,55,8140,Syracuse,265,77,21,1,5197def5-f444-4561-ad28-7aac10dc748e,636094800,chandlerjones/2533538,14927
2018,"Mercilus, Whitney",HOU,447344,LB,10754,HOU,2012,Merci380,1619959,25736,,,7432,59,8134,Illinois,258,76,26,1,eafbc0f8-2e3b-4014-af9d-81fc14b5009a,648536400,whitneymercilus/2533049,14936
2018,"Curry, Vinny",PHI,407642,DE,10755,TBB,2012,MrGetFlee99,1635785,25769,,,7531,99,8139,Marshall,279,75,27,2,e929b3d8-6f7b-41f2-acfa-fe3840d03509,583650000,vinnycurry/2532825,14959
2018,"Worthy, Jerel",GBP,464291,DT,10759,FA,2012,I_AM_Worthy99,1631028,25761,,,7443,56,8156,Michigan State,300,74,19,2,b9d34a54-0475-417b-a2b5-6c0743b541ff,641278800,jerelworthy/2533052,14967
2018,"Poe, Dontari",KCC,502833,DT,10761,CAR,2012,PoeMans_dream,1717351,25721,8504,,7422,95,8153,Memphis,346,75,11,1,9fdc477a-af02-4345-baca-cf026fbc645a,650955600,dontaripoe/2533435,14939
2018,"Cox, Fletcher",PHI,512216,DT,10762,PHI,2012,fcoxx_91,1700843,25722,,,7431,91,8154,Mississippi State,310,76,12,1,49671677-0e37-4c70-ae1b-ec36be357eb9,661064400,fletchercox/2533051,14941
2018,"Brockers, Michael",FA,498963,DE,10763,LAR,2012,MichaelBrockers,1664406,25724,,,7466,90,8152,LSU,305,77,14,1,30119d63-584c-4fd6-95aa-67b7af4998f5,661755600,michaelbrockers/2533050,14944
2018,"Upshaw, Courtney",BAL,465622,DE,10764,FA,2012,334Upshaw41,1632220,25745,8403,,7478,91,8182,Alabama,272,74,3,2,32c32ac4-e25d-434e-a993-fcaa42116805,629528400,courtneyupshaw/2532964,14970
2018,"Spence, Sean",PIT,447335,LB,10765,FA,2012,3Spence1,1619691,25796,,,7554,51,8241,Miami,231,71,23,3,efaec80b-f578-4d7e-939c-5965fbfc8a02,644734800,seanspence/2532952,14972
