season,id,franchise_id,amount,description,timestamp,ts_utc
2024,200,0024,8.52,Tremaine Edmunds - 1 yr at $14.2 mil dropped 11/3/24,1730995249,2024-11-07T16:00:49+00:00
2024,201,0031,1.02,Daniel Carlson - 2 yrs at $1.7 mil dropped 11/5/24,1730995249,2024-11-07T16:00:49+00:00
2024,202,0001,1.02,Kendrick Bourne - 2 yrs at $1.7 mil dropped 11/14/24,1731853134,2024-11-17T14:18:54+00:00
2024,203,0002,3.6,Andy Dalton - 1 yr at $6.0 mil dropped 11/13/24,1731853134,2024-11-17T14:18:54+00:00
2024,204,0004,1.02,Jake Bailey - 1 yr at $1.7 mil dropped 11/12/24,1731853134,2024-11-17T14:18:54+00:00
2024,205,0005,1.02,Demani Richardson - 1 yr at $1.7 mil dropped 11/16/24,1731853134,2024-11-17T14:18:54+00:00
2024,206,0009,8.62,Miles Sanders - 1 yr at $14.37 mil dropped 11/12/24,1731853134,2024-11-17T14:18:54+00:00
2024,207,0010,1.08,Devin Singletary - 1 yr at $1.8 mil dropped 11/14/24,1731853134,2024-11-17T14:18:54+00:00
2024,208,0013,-3.0,ATL sends ARI $3.0 mil cash in trade 11/15/24,1731853134,2024-11-17T14:18:54+00:00
2024,209,0002,1.8,Parker Washington - 1 yr at $3.0 mil dropped 11/15/24,1731853196,2024-11-17T14:19:56+00:00
2024,21,0008,1.44,Jimmy Garoppolo - 2 yrs at $4.79 dropped 11/1/23,1709587370,2024-03-04T21:22:50+00:00
2024,210,0009,3.0,ATL sends ARI $3.0 mil cash in trade 11/15/24,1731853196,2024-11-17T14:19:56+00:00
2024,211,0021,1.02,Devaughn Vele - 1 yr at $1.7 mil dropped 11/8/24,1731853279,2024-11-17T14:21:19+00:00
2024,212,0032,1.26,Jaqueline Roy - 1 yr at $2.1 mil dropped 11/13/24,1731853279,2024-11-17T14:21:19+00:00
2024,213,0032,1.68,Grant Calcaterra - 1 yr at $2.8 mil dropped 11/13/24,1731853317,2024-11-17T14:21:57+00:00
2024,214,0003,-1.3,NOS sends PHI $1.3 in a trade 11/17/24,1731979988,2024-11-19T01:33:08+00:00
2024,215,0011,1.3,NOS sends PHI $1.3 in a trade 11/17/24,1731979988,2024-11-19T01:33:08+00:00
2024,216,0009,2.3,Kamu Grugier-Hill - 1 yr at $3.83 mil dropped 11/22/24,1732458241,2024-11-24T14:24:01+00:00
2024,217,0019,3.74,Jordan Whitehead - 3 yrs at $6.24 dropped 11/26/24,1734558500,2024-12-18T21:48:20+00:00
2024,218,0023,5.94,Austin Ekeler - 1 yr at $9.9 dropped 12/1/24,1734558500,2024-12-18T21:48:20+00:00
2024,219,0026,3.58,Allan Lazard - 1 yr at $5.96 dropped 12/18/24,1734558500,2024-12-18T21:48:20+00:00
2024,22,0009,0.45,Nick Scott - 2 yrs at $1.5 dropped 11/25/23,1709587370,2024-03-04T21:22:50+00:00
2024,220,0027,3.39,L'Jarius Sneed - 1 yr at $5.65 dropped 11/24/24,1734558500,2024-12-18T21:48:20+00:00
2024,221,0029,1.26,Jonathan Mingo - 1 yr at $2.1 dropped 12/4/24,1734558500,2024-12-18T21:48:20+00:00
2024,222,0019,4.0,CJ Mosley - 1 yr at $6.66 dropped 12/3/24,1734558593,2024-12-18T21:49:53+00:00
2024,223,0026,1.44,Benjamin St Juste - 1 yr at $2.4 dropped 12/18/24,1734558593,2024-12-18T21:49:53+00:00
2024,224,0027,1.08,Darius Mausau - 1 ur at $1.80 dropped 11/24/24,1734558593,2024-12-18T21:49:53+00:00
2024,225,0027,1.4,Marcus Williams - 1 yr at $2.34 dropped 12/1/24,1734558611,2024-12-18T21:50:11+00:00
2024,226,0001,3.9,Charvarius Ward - 1 yr at $6.5 mil dropped 12/19/24,1734717458,2024-12-20T17:57:38+00:00
2024,227,0002,1.02,Devin Bush - 1 yr at $1.7 mil dropped 11/26/24,1734717458,2024-12-20T17:57:38+00:00
2024,228,0003,1.57,Vonn Bell - 1 yr at $2.62 mil dropped 11/26/24,1734717458,2024-12-20T17:57:38+00:00
2024,229,0004,1.02,Neville Hewitt - 1 yr at $1.7 mil dropped 12/17/24,1734717458,2024-12-20T17:57:38+00:00
2024,23,0012,5.3,Robert Woods - 2 yrs at $17.67 dropped 11/7/23,1709587370,2024-03-04T21:22:50+00:00
2024,230,0005,1.02,Rayshawn Jenkins - 1 yr at $1.7 mil dropped 12/17/24,1734717458,2024-12-20T17:57:38+00:00
2024,231,0008,8.98,Nick Chubb - 1 yr at $14.96 mil dropped 12/17/24,1734717458,2024-12-20T17:57:38+00:00
